state,naics2017,ai_firms_did_not_use,ai_firms_tested_but_did_not_use_in_production_or_service,ai_firms_low_use,ai_firms_moderate_use,ai_firms_high_use,ai_firms_dont_know,ai_firms_any_use,ai_firms_total,ai_adoption_rate
37,53,8267,0,0,0,0,701,0,8968,0
38,53,885,0,0,0,0,0,0,885,0
39,53,5652,0,140,0,0,313,140,6245,0.02241793434747798
40,53,2769,0,0,0,0,0,0,2769,0
41,53,4301,0,0,0,0,442,0,4743,0
42,53,4965,0,0,0,0,554,0,5519,0
44,53,0,0,0,0,0,0,0,0,NA
45,53,3522,0,0,0,0,236,0,3758,0
46,53,729,0,0,0,0,0,0,729,0
47,53,3011,0,0,0,0,276,0,3287,0
48,53,15389,0,221,221,0,1097,442,17370,0.0254461715601612
49,53,3925,0,0,0,0,0,0,3925,0
50,53,0,0,0,0,0,0,0,0,NA
51,53,6028,0,0,0,0,320,0,6348,0
53,53,6683,0,0,0,0,585,0,7268,0
54,53,1175,0,0,0,0,0,0,1175,0
55,53,3558,0,0,0,0,0,0,3558,0
56,53,883,0,0,0,0,0,0,883,0
01,54,6380,0,73,254,0,489,327,7523,0.043466702113518545
02,54,1436,0,0,40,0,56,40,1572,0.02544529262086514
04,54,12484,89,541,192,96,700,829,14931,0.05552206818029603
05,54,4193,0,170,29,0,506,199,5097,0.039042574063174414
06,54,80822,1760,2983,2085,1313,4816,6381,100160,0.06370806709265175
08,54,20227,389,724,539,152,717,1415,24163,0.058560609195877994
09,54,6516,0,258,96,0,315,354,7539,0.0469558296856347
10,54,1916,66,96,66,0,167,162,2473,0.06550748079255965
12,54,53419,969,1822,1077,578,2333,3477,63675,0.05460541813898705
11,54,2914,72,224,211,0,213,435,4069,0.10690587367903662
13,54,19420,261,615,358,0,1573,973,23200,0.04193965517241379
15,54,2098,0,125,62,0,77,187,2549,0.07336210278540604
16,54,3590,0,117,28,0,261,145,4141,0.035015696691620385
17,54,27071,339,829,507,180,1534,1516,31976,0.04741055791843883
18,54,9255,112,521,156,0,325,677,11046,0.06128915444504798
19,54,5113,39,190,114,0,0,304,5760,0.05277777777777778
20,54,5372,82,99,43,0,391,142,6129,0.02316854299233154
21,54,6197,69,210,75,0,450,285,7286,0.039116113093604174
22,54,7897,80,169,0,0,304,169,8619,0.0196078431372549
23,54,2507,0,245,0,0,162,245,3159,0.07755618866729978
24,54,14268,186,370,388,0,802,758,16772,0.045194371571667065
25,54,14199,244,724,317,135,998,1176,17793,0.06609340751981116
26,54,14939,203,335,250,0,1078,585,17390,0.03364002300172513
27,54,12692,173,639,282,0,446,921,15153,0.060780043555731536
28,54,3054,0,235,0,0,188,235,3712,0.06330818965517242
29,54,10272,205,239,121,0,556,360,11753,0.030630477324938312
30,54,3045,43,118,35,0,138,153,3532,0.043318233295583236
31,54,3793,76,71,31,0,195,102,4268,0.023898781630740395
32,54,5620,77,174,149,0,279,323,6622,0.04877680459075808
33,54,2737,0,65,37,0,124,102,3065,0.033278955954323
35,54,2981,0,134,191,90,216,415,4027,0.10305438291532158
34,54,17549,271,813,529,352,1334,1694,22542,0.07514861148079141
36,54,38456,601,1472,702,308,2412,2482,46433,0.05345336290999935
37,54,19007,191,557,291,184,758,1032,22020,0.046866485013623976
38,54,1472,0,0,16,0,90,16,1594,0.010037641154328732
39,54,17968,415,490,466,0,917,956,21212,0.04506882896473694
40,54,7562,0,64,61,0,434,125,8246,0.015158864904195974
41,54,9723,211,377,258,0,565,635,11769,0.053955306313195686
42,54,21355,323,1036,437,120,846,1593,25710,0.06196032672112019
44,54,1926,0,0,0,0,143,0,2069,0
45,54,8092,71,260,72,0,422,332,9249,0.03589577251594767
46,54,1370,0,58,72,0,84,130,1714,0.07584597432905485
47,54,7506,72,187,142,0,534,329,8770,0.03751425313568985
48,54,44462,510,1882,1053,574,2101,3509,54091,0.0648721598787229
49,54,7982,68,246,186,161,293,593,9529,0.062231084059187744
50,54,1678,0,68,0,0,66,68,1880,0.036170212765957444
51,54,20225,482,715,603,204,951,1522,24702,0.061614444174560766
53,54,15991,287,446,426,247,439,1119,18955,0.059034555526246375
54,54,2046,0,0,19,0,55,19,2139,0.008882655446470314
55,54,9012,151,227,153,0,476,380,10399,0.03654197518992211
56,54,0,0,0,0,0,0,0,0,NA
01,55,290,0,59,0,0,26,59,434,0.1359447004608295
02,55,119,0,0,0,0,0,0,119,0
04,55,363,0,25,0,0,45,25,458,0.05458515283842795
05,55,141,0,20,0,0,72,20,253,0.07905138339920949
06,55,1488,17,94,35,0,306,129,2069,0.06234896085065249
08,55,443,0,31,0,0,92,31,597,0.051926298157453935
09,55,177,0,16,0,0,36,16,245,0.0653061224489796
10,55,278,0,16,0,0,89,16,399,0.040100250626566414
12,55,1128,24,41,0,0,101,41,1335,0.030711610486891385
11,55,28,0,19,0,0,26,19,92,0.20652173913043478
13,55,445,0,41,16,0,91,57,650,0.0876923076923077
15,55,151,0,0,0,0,0,0,151,0
16,55,0,0,0,0,0,20,0,20,0
17,55,849,0,40,22,0,171,62,1144,0.05419580419580419
18,55,231,0,21,0,0,39,21,312,0.0673076923076923
19,55,286,0,0,0,0,22,0,308,0
20,55,304,0,21,0,0,33,21,379,0.055408970976253295
21,55,450,0,17,0,0,42,17,526,0.03231939163498099
22,55,0,0,22,0,0,28,22,72,0.3055555555555556
23,55,34,0,0,0,0,0,0,34,0
24,55,263,0,20,0,0,32,20,335,0.05970149253731343
25,55,0,0,31,0,0,55,31,117,0.26495726495726496
26,55,0,14,36,0,0,97,36,183,0.19672131147540983
27,55,436,0,33,0,0,58,33,560,0.05892857142857143
28,55,146,0,16,0,0,0,16,178,0.0898876404494382
29,55,412,0,24,0,0,53,24,513,0.04678362573099415
30,55,19,0,0,0,0,0,0,19,0
31,55,176,0,16,0,0,24,16,232,0.06896551724137931
32,55,0,0,14,0,0,71,14,99,0.1414141414141414
33,55,81,0,0,0,0,0,0,81,0
35,55,95,0,0,0,0,0,0,95,0
34,55,0,16,36,0,0,111,36,199,0.18090452261306533
36,55,1101,17,45,18,0,167,63,1411,0.0446491849751949
37,55,562,0,29,0,0,72,29,692,0.04190751445086705
38,55,78,0,0,0,0,0,0,78,0
39,55,726,20,39,19,0,219,58,1081,0.05365402405180388
40,55,398,0,0,0,0,19,0,417,0
41,55,149,0,22,0,0,38,22,231,0.09523809523809523
42,55,621,20,98,23,0,107,121,990,0.12222222222222222
44,55,70,0,0,0,0,0,0,70,0
45,55,302,0,20,0,0,23,20,365,0.0547945205479452
46,55,0,0,0,0,0,0,0,0,NA
47,55,347,0,24,17,0,49,41,478,0.08577405857740586
48,55,1780,31,112,44,0,209,156,2332,0.06689536878216124
49,55,293,0,15,0,0,78,15,401,0.03740648379052369
50,55,0,0,0,0,0,0,0,0,NA
51,55,571,0,33,17,0,43,50,714,0.0700280112044818
53,55,0,0,22,0,0,79,22,123,0.17886178861788618
54,55,33,0,0,0,0,0,0,33,0
55,55,754,0,26,0,0,41,26,847,0.030696576151121605
56,55,0,0,0,0,0,0,0,0,NA
01,56,3029,0,0,0,0,211,0,3240,0
02,56,663,0,0,0,0,0,0,663,0
04,56,4991,0,0,0,0,0,0,4991,0
05,56,1775,0,0,0,0,100,0,1875,0
06,56,28022,276,619,345,0,1474,964,31700,0.030410094637223974
08,56,5801,0,0,0,0,228,0,6029,0
09,56,3627,0,0,0,0,199,0,3826,0
10,56,580,0,0,0,0,0,0,580,0
12,56,26387,0,396,244,0,1164,640,28831,0.02219832818840831
11,56,391,0,0,0,0,0,0,391,0
13,56,7893,0,220,59,0,365,279,8816,0.0316470054446461
15,56,759,0,0,0,0,98,0,857,0
16,56,1997,0,0,0,0,165,0,2162,0
17,56,11514,67,19,101,0,770,120,12591,0.009530617107457708
18,56,5459,0,238,0,0,342,238,6277,0.03791620200732834
19,56,2242,0,0,0,0,62,0,2304,0
20,56,3136,0,0,0,0,212,0,3348,0
21,56,2553,0,0,0,0,0,0,2553,0
23,56,1461,0,0,0,0,0,0,1461,0
22,56,2788,0,0,0,0,104,0,2892,0
24,56,5749,0,0,0,0,475,0,6224,0
25,56,6522,0,0,0,0,170,0,6692,0
26,56,8019,0,25,0,0,234,25,8303,0.0030109598940142117
27,56,5382,0,93,0,0,186,93,5754,0.01616266944734098
28,56,929,0,0,0,0,0,0,929,0
29,56,5550,0,63,0,0,243,63,5919,0.010643689812468323
30,56,1144,0,0,0,0,0,0,1144,0
31,56,2101,0,0,0,0,62,0,2163,0
32,56,2926,0,0,0,0,155,0,3081,0
33,56,1449,0,0,0,0,116,0,1565,0
35,56,1481,0,0,0,0,143,0,1624,0
34,56,7962,0,0,0,0,482,0,8444,0
36,56,17576,0,102,102,0,785,204,18769,0.01086898609409132
37,56,8309,0,0,0,0,430,0,8739,0
38,56,1192,0,0,0,0,0,0,1192,0
39,56,8137,0,106,0,0,947,106,9296,0.01140275387263339
40,56,2871,0,0,0,0,107,0,2978,0
41,56,4352,0,0,0,0,171,0,4523,0
42,56,11123,0,60,0,0,427,60,11670,0.005141388174807198
44,56,1144,0,0,0,0,0,0,1144,0
45,56,4473,0,0,0,0,91,0,4564,0
46,56,1209,0,0,0,0,0,0,1209,0
47,56,4272,0,240,0,0,206,240,4958,0.048406615570794675
48,56,18215,105,400,295,0,1200,695,20910,0.033237685318029654
49,56,3351,0,0,0,0,114,0,3465,0
50,56,837,0,0,0,0,0,0,837,0
51,56,7958,0,59,241,0,272,300,8830,0.03397508493771234
53,56,6484,0,0,0,0,417,0,6901,0
54,56,1115,0,0,0,0,0,0,1115,0
55,56,4917,0,212,0,0,233,212,5574,0.03803372802296376
56,56,703,0,0,0,0,0,0,703,0
01,61,315,0,0,0,0,0,0,315,0
02,61,0,0,0,0,0,0,0,0,NA
04,61,1011,0,0,0,0,0,0,1011,0
05,61,306,0,0,0,0,0,0,306,0
06,61,7001,0,0,0,0,98,0,7099,0
08,61,1227,0,0,0,0,0,0,1227,0
09,61,967,0,0,0,0,0,0,967,0
10,61,0,0,0,0,0,0,0,0,NA
12,61,4224,0,0,0,0,160,0,4384,0
11,61,0,0,0,0,0,0,0,0,NA
13,61,1806,0,0,0,0,0,0,1806,0
15,61,0,0,0,0,0,0,0,0,NA
16,61,0,0,0,0,0,0,0,0,NA
17,61,2041,0,0,0,0,0,0,2041,0
18,61,753,0,0,0,0,0,0,753,0
19,61,543,0,0,0,0,0,0,543,0
20,61,261,0,0,0,0,0,0,261,0
21,61,603,0,0,0,0,0,0,603,0
23,61,0,0,0,0,0,0,0,0,NA
22,61,459,0,0,0,0,0,0,459,0
24,61,1123,0,0,0,0,0,0,1123,0
25,61,1757,0,0,0,0,0,0,1757,0
26,61,1385,0,0,0,0,0,0,1385,0
27,61,744,0,0,0,0,0,0,744,0
28,61,0,0,0,0,0,0,0,0,NA
29,61,0,0,0,0,0,0,0,0,NA
30,61,0,0,0,0,0,0,0,0,NA
31,61,0,0,0,0,0,0,0,0,NA
32,61,354,0,0,0,0,0,0,354,0
33,61,0,0,0,0,0,0,0,0,NA
35,61,0,0,0,0,0,0,0,0,NA
34,61,2246,0,0,0,0,0,0,2246,0
36,61,3951,0,0,0,0,0,0,3951,0
37,61,1746,0,0,0,0,0,0,1746,0
38,61,0,0,0,0,0,0,0,0,NA
39,61,1413,0,0,0,0,0,0,1413,0
40,61,404,0,0,0,0,0,0,404,0
41,61,715,0,0,0,0,0,0,715,0
42,61,1754,0,0,0,0,0,0,1754,0
44,61,0,0,0,0,0,0,0,0,NA
45,61,533,0,0,0,0,0,0,533,0
46,61,0,0,0,0,0,0,0,0,NA
47,61,440,0,0,0,0,0,0,440,0
48,61,3248,0,0,0,0,0,0,3248,0
49,61,722,0,0,0,0,0,0,722,0
50,61,336,0,0,0,0,0,0,336,0
51,61,1460,0,0,0,0,0,0,1460,0
53,61,1665,0,0,0,0,0,0,1665,0
54,61,0,0,0,0,0,0,0,0,NA
55,61,683,0,0,0,0,0,0,683,0
56,61,0,0,0,0,0,0,0,0,NA
01,62,5618,0,0,0,0,491,0,6109,0
02,62,1510,0,0,0,0,0,0,1510,0
04,62,9548,0,302,0,0,713,302,10865,0.027795674183156927
05,62,4754,0,0,0,0,335,0,5089,0
06,62,65550,0,1382,1161,0,4869,2543,75505,0.03367988874908946
08,62,10267,0,0,0,0,462,0,10729,0
09,62,5465,0,0,0,0,493,0,5958,0
10,62,1178,0,0,0,0,0,0,1178,0
11,62,575,0,0,0,0,0,0,575,0
12,62,35337,0,454,556,425,1981,1435,40188,0.03570717627152384
13,62,12847,0,256,0,0,1331,256,14690,0.017426820966643976
15,62,1930,0,0,0,0,0,0,1930,0
16,62,3762,0,0,0,0,0,0,3762,0
17,62,19463,0,347,0,0,949,347,21106,0.016440822514924666
18,62,7402,0,0,0,0,445,0,7847,0
19,62,4510,0,0,0,0,0,0,4510,0
20,62,4471,0,0,0,0,256,0,4727,0
21,62,5550,0,0,0,0,308,0,5858,0
23,62,1647,0,0,0,0,166,0,1813,0
22,62,6579,0,0,0,0,429,0,7008,0
24,62,8408,0,0,0,0,464,0,8872,0
25,62,7766,0,0,0,0,227,0,7993,0
26,62,14886,0,0,0,0,675,0,15561,0
27,62,7849,0,0,0,0,278,0,8127,0
28,62,3982,0,0,0,0,224,0,4206,0
29,62,8500,0,0,0,0,446,0,8946,0
30,62,2059,0,0,0,0,58,0,2117,0
31,62,3893,0,0,0,0,124,0,4017,0
32,62,4380,0,0,0,0,143,0,4523,0
33,62,1998,0,0,0,0,0,0,1998,0
35,62,2770,0,0,0,0,58,0,2828,0
34,62,16288,0,370,0,0,0,370,17028,0.021728917077754286
36,62,30406,0,277,0,0,2531,277,33491,0.008270878743543042
37,62,13956,0,0,0,0,0,0,13956,0
38,62,0,0,0,0,0,0,0,0,NA
39,62,13880,0,0,0,0,0,0,13880,0
40,62,5457,0,0,0,0,359,0,5816,0
41,62,7717,0,0,0,0,342,0,8059,0
42,62,17411,0,457,0,0,667,457,18992,0.024062763268744736
44,62,1455,0,0,0,0,143,0,1598,0
45,62,5532,0,0,0,0,336,0,5868,0
46,62,1225,0,0,0,0,0,0,1225,0
50,62,910,0,0,0,0,0,0,910,0
47,62,7439,0,343,0,0,319,343,8444,0.04062055897678825
48,62,35811,0,596,0,0,2118,596,39121,0.015234784386902175
49,62,5235,0,0,0,0,0,0,5235,0
51,62,11150,0,0,0,0,735,0,11885,0
53,62,12373,0,0,0,0,858,0,13231,0
54,62,1990,0,0,0,0,186,0,2176,0
55,62,7222,0,0,0,0,0,0,7222,0
56,62,918,0,0,0,0,0,0,918,0
01,71,456,0,0,0,0,0,0,456,0
02,71,378,0,0,0,0,0,0,378,0
04,71,870,0,0,0,0,0,0,870,0
05,71,0,0,0,0,0,0,0,0,NA
06,71,19249,0,0,0,0,1470,0,20719,0
08,71,2285,0,0,0,0,0,0,2285,0
09,71,941,0,0,0,0,0,0,941,0
10,71,0,0,0,0,0,0,0,0,NA
11,71,193,0,0,0,0,0,0,193,0
12,71,5487,0,0,0,0,0,0,5487,0
13,71,2119,0,0,0,0,0,0,2119,0
15,71,0,0,0,0,0,0,0,0,NA
16,71,721,0,0,0,0,0,0,721,0
17,71,3400,0,0,0,0,104,0,3504,0
18,71,1690,0,0,0,0,0,0,1690,0
19,71,743,0,0,0,0,0,0,743,0
20,71,790,0,0,0,0,0,0,790,0
21,71,1234,0,0,0,0,0,0,1234,0
23,71,0,0,0,0,0,0,0,0,NA
22,71,979,0,0,0,0,0,0,979,0
24,71,1113,0,0,0,0,0,0,1113,0
25,71,1502,0,0,0,0,0,0,1502,0
26,71,1931,0,0,0,0,0,0,1931,0
27,71,1127,0,0,0,0,0,0,1127,0
28,71,256,0,0,0,0,0,0,256,0
29,71,901,0,0,0,0,0,0,901,0
30,71,0,0,0,0,0,0,0,0,NA
31,71,553,0,0,0,0,0,0,553,0
33,71,0,0,0,0,0,0,0,0,NA
32,71,0,0,0,0,0,0,0,0,NA
35,71,474,0,0,0,0,0,0,474,0
34,71,1576,0,0,0,0,0,0,1576,0
36,71,8014,0,0,0,0,388,0,8402,0
37,71,2040,0,0,0,0,0,0,2040,0
38,71,0,0,0,0,0,0,0,0,NA
39,71,2028,0,0,0,0,0,0,2028,0
40,71,650,0,0,0,0,0,0,650,0
41,71,1324,0,0,0,0,0,0,1324,0
42,71,2217,0,0,0,0,0,0,2217,0
44,71,0,0,0,0,0,0,0,0,NA
45,71,925,0,0,0,0,0,0,925,0
46,71,409,0,0,0,0,0,0,409,0
47,71,2176,0,0,0,0,0,0,2176,0
48,71,4249,0,0,0,0,0,0,4249,0
49,71,0,0,0,0,0,0,0,0,NA
50,71,0,0,0,0,0,0,0,0,NA
51,71,1753,0,0,0,0,0,0,1753,0
