state,naics2017,ai_firms_did_not_use,ai_firms_tested_but_did_not_use_in_production_or_service,ai_firms_low_use,ai_firms_moderate_use,ai_firms_high_use,ai_firms_dont_know,ai_firms_any_use,ai_firms_total,ai_adoption_rate
53,71,1432,0,0,0,0,0,0,1432,0
54,71,276,0,0,0,0,0,0,276,0
55,71,1764,0,0,0,0,0,0,1764,0
56,71,384,0,0,0,0,0,0,384,0
01,72,4208,0,0,0,0,343,0,4551,0
02,72,1380,0,0,0,0,0,0,1380,0
04,72,6655,0,0,0,0,345,0,7000,0
05,72,3550,0,0,0,0,0,0,3550,0
06,72,49855,0,588,635,0,4670,1223,56971,0.021467062189535025
08,72,7805,0,0,0,0,1235,0,9040,0
09,72,5372,0,0,0,0,361,0,5733,0
10,72,1234,0,0,0,0,0,0,1234,0
11,72,1232,0,0,0,0,0,0,1232,0
12,72,23178,0,219,0,0,1369,219,24985,0.008765259155493296
13,72,11101,0,0,0,0,1300,0,12401,0
15,72,2017,0,0,0,0,98,0,2115,0
16,72,2697,0,0,0,0,111,0,2808,0
17,72,16514,0,0,0,0,1616,0,18130,0
18,72,7678,0,0,0,0,738,0,8416,0
19,72,4355,0,0,0,0,0,0,4355,0
20,72,3021,0,0,0,0,412,0,3433,0
21,72,4468,0,0,0,0,373,0,4841,0
23,72,2587,0,0,0,0,0,0,2587,0
22,72,5531,0,0,0,0,328,0,5859,0
24,72,7025,0,0,0,0,657,0,7682,0
25,72,10178,0,0,0,0,561,0,10739,0
26,72,12262,0,0,0,0,531,0,12793,0
27,72,8493,0,0,0,0,339,0,8832,0
28,72,2743,0,0,0,0,281,0,3024,0
29,72,7226,0,0,0,0,530,0,7756,0
30,72,3577,0,0,0,0,0,0,3577,0
31,72,2759,0,0,0,0,208,0,2967,0
33,72,2775,0,0,0,0,0,0,2775,0
32,72,3210,0,0,0,0,269,0,3479,0
35,72,2513,0,0,0,0,0,0,2513,0
34,72,13811,0,396,0,0,1647,396,16250,0.024369230769230768
36,72,29916,0,500,0,0,3620,500,34536,0.01447764651378272
37,72,12346,0,0,0,0,977,0,13323,0
38,72,1568,0,0,0,0,0,0,1568,0
39,72,15500,0,0,0,0,791,0,16291,0
40,72,4091,0,0,0,0,215,0,4306,0
41,72,7980,0,0,0,0,381,0,8361,0
42,72,18808,0,0,0,0,1532,0,20340,0
44,72,2328,0,0,0,0,155,0,2483,0
45,72,6074,0,0,0,0,528,0,6602,0
46,72,1668,0,0,0,0,136,0,1804,0
47,72,6106,0,0,0,0,550,0,6656,0
48,72,24727,0,0,0,0,1601,0,26328,0
49,72,3733,0,0,0,0,261,0,3994,0
51,72,10870,0,0,0,0,1064,0,11934,0
50,72,1280,0,0,0,0,0,0,1280,0
53,72,10989,0,0,0,0,628,0,11617,0
54,72,2565,0,0,0,0,0,0,2565,0
55,72,11281,0,0,0,0,346,0,11627,0
56,72,1399,0,0,0,0,0,0,1399,0
01,81,3456,0,0,0,0,432,0,3888,0
02,81,734,0,0,0,0,0,0,734,0
04,81,4997,0,0,0,0,135,0,5132,0
05,81,2252,0,0,0,0,0,0,2252,0
06,81,32624,0,460,0,0,2783,460,36327,0.012662757728411375
08,81,6286,0,0,0,0,580,0,6866,0
09,81,4732,0,0,0,0,321,0,5053,0
10,81,873,0,0,0,0,0,0,873,0
11,81,341,0,0,0,0,0,0,341,0
12,81,22588,0,0,0,0,1201,0,23789,0
13,81,8729,0,0,0,0,496,0,9225,0
15,81,755,0,0,0,0,0,0,755,0
16,81,2082,0,0,0,0,0,0,2082,0
17,81,14527,0,0,0,0,890,0,15417,0
18,81,6704,0,0,0,0,432,0,7136,0
19,81,4206,0,0,0,0,0,0,4206,0
20,81,2978,0,0,0,0,0,0,2978,0
21,81,4026,0,0,0,0,372,0,4398,0
23,81,1283,0,0,0,0,0,0,1283,0
22,81,3568,0,0,0,0,132,0,3700,0
24,81,5733,0,0,0,0,545,0,6278,0
25,81,7956,0,0,0,0,485,0,8441,0
26,81,10311,0,0,0,0,1010,0,11321,0
27,81,7119,0,0,0,0,0,0,7119,0
28,81,2157,0,0,0,0,168,0,2325,0
29,81,6920,0,0,0,0,177,0,7097,0
30,81,0,0,0,0,0,0,0,0,NA
31,81,3693,0,0,0,0,143,0,3836,0
33,81,1725,0,0,0,0,0,0,1725,0
32,81,2151,0,0,0,0,257,0,2408,0
35,81,0,0,0,0,0,0,0,0,NA
34,81,9657,0,0,0,0,768,0,10425,0
36,81,22134,0,394,0,0,2720,394,25642,0.01536541611418766
37,81,9839,0,0,0,0,333,0,10172,0
38,81,893,0,0,0,0,0,0,893,0
39,81,10773,0,0,0,0,735,0,11508,0
40,81,3124,0,0,0,0,0,0,3124,0
41,81,3862,0,0,0,0,310,0,4172,0
42,81,17138,0,0,0,0,1332,0,18470,0
44,81,1255,0,0,0,0,0,0,1255,0
45,81,4425,0,0,0,0,213,0,4638,0
46,81,1144,0,0,0,0,0,0,1144,0
47,81,5476,0,0,0,0,160,0,5636,0
48,81,19835,0,97,0,0,1371,97,21400,0.0045327102803738315
49,81,2922,0,0,0,0,361,0,3283,0
51,81,8471,0,0,0,0,664,0,9135,0
50,81,1144,0,0,0,0,0,0,1144,0
53,81,7747,0,0,0,0,352,0,8099,0
54,81,1524,0,0,0,0,0,0,1524,0
55,81,7041,0,0,0,0,333,0,7374,0
56,81,889,0,0,0,0,0,0,889,0
01,99,114,0,0,0,0,0,0,114,0
02,99,0,0,0,0,0,0,0,0,NA
04,99,0,0,0,0,0,0,0,0,NA
05,99,133,0,0,0,0,0,0,133,0
06,99,664,0,0,0,0,0,0,664,0
08,99,212,0,0,0,0,0,0,212,0
09,99,0,0,0,0,0,0,0,0,NA
10,99,0,0,0,0,0,0,0,0,NA
11,99,0,0,0,0,0,0,0,0,NA
12,99,115,0,0,0,0,0,0,115,0
13,99,180,0,0,0,0,0,0,180,0
15,99,0,0,0,0,0,0,0,0,NA
16,99,169,0,0,0,0,0,0,169,0
17,99,1228,0,0,0,0,0,0,1228,0
18,99,314,0,0,0,0,0,0,314,0
19,99,1057,0,0,0,0,0,0,1057,0
20,99,408,0,0,0,0,0,0,408,0
21,99,180,0,0,0,0,0,0,180,0
23,99,0,0,0,0,0,0,0,0,NA
22,99,0,0,0,0,0,0,0,0,NA
24,99,0,0,0,0,0,0,0,0,NA
25,99,0,0,0,0,0,0,0,0,NA
26,99,267,0,0,0,0,0,0,267,0
27,99,1035,0,0,0,0,0,0,1035,0
28,99,81,0,0,0,0,0,0,81,0
29,99,446,0,0,0,0,0,0,446,0
30,99,210,0,0,0,0,0,0,210,0
31,99,753,0,0,0,0,0,0,753,0
33,99,0,0,0,0,0,0,0,0,NA
32,99,0,0,0,0,0,0,0,0,NA
35,99,0,0,0,0,0,0,0,0,NA
34,99,0,0,0,0,0,0,0,0,NA
36,99,288,0,0,0,0,0,0,288,0
37,99,198,0,0,0,0,0,0,198,0
38,99,0,0,0,0,0,0,0,0,NA
39,99,297,0,0,0,0,0,0,297,0
40,99,197,0,0,0,0,0,0,197,0
41,99,186,0,0,0,0,0,0,186,0
44,99,0,0,0,0,0,0,0,0,NA
42,99,213,0,0,0,0,0,0,213,0
45,99,58,0,0,0,0,0,0,58,0
46,99,534,0,0,0,0,0,0,534,0
47,99,120,0,0,0,0,0,0,120,0
48,99,760,0,0,0,0,0,0,760,0
49,99,58,0,0,0,0,0,0,58,0
51,99,161,0,0,0,0,0,0,161,0
50,99,0,0,0,0,0,0,0,0,NA
53,99,253,0,0,0,0,0,0,253,0
54,99,0,0,0,0,0,0,0,0,NA
55,99,971,0,0,0,0,0,0,971,0
56,99,0,0,0,0,0,0,0,0,NA
