year,n_firms,n_emp,payroll,revenue,NAICS2017,state,payroll_per_emp,ai_firms_did_not_use,ai_firms_tested_but_did_not_use_in_production_or_service,ai_firms_low_use,ai_firms_moderate_use,ai_firms_high_use,ai_firms_dont_know,ai_firms_any_use,ai_firms_total,ai_adoption_rate,high_ai
2017,297,9125,815901,1630640,71,11,89.41380821917808,193,0,0,0,0,0,0,193,0,High AI adoption
2017,5309,170625,12278832,86760511,52,04,71.96385054945056,3961,18,224,107,0,222,331,4863,0.06806498046473371,High AI adoption
2017,7761,46683,2136260,12856879,53,04,45.760983655720494,5953,0,0,0,0,336,0,6289,0,High AI adoption
2017,2011,74943,2006517,6296017,72,11,26.77390817020936,1232,0,0,0,0,0,0,1232,0,High AI adoption
2017,750,36654,1500632,3146330,56,11,40.940470344300756,391,0,0,0,0,0,0,391,0,High AI adoption
2017,16808,146402,10501121,23878892,54,04,71.72798868867912,12484,89,541,192,96,700,829,14931,0.05552206818029603,High AI adoption
2017,47903,1020055,41052693,272169481,00,05,40.245568131130184,37110,112,660,338,233,2994,1231,42678,0.028843900838839684,High AI adoption
2017,7429,258670,8953742,17446119,56,04,34.61453589515599,4991,0,0,0,0,0,0,4991,0,High AI adoption
2017,740,5641,218475,863950,11,05,38.72983513561425,473,0,0,0,0,0,0,473,0,High AI adoption
2017,1920,61195,2364756,3792103,61,04,38.64296102622763,1011,0,0,0,0,0,0,1011,0,High AI adoption
2017,1792,42558,1652933,3891530,71,04,38.83953663236054,870,0,0,0,0,0,0,870,0,High AI adoption
2017,5387,49169,2242770,11279413,23,05,45.61349630864976,3857,0,0,0,0,0,0,3857,0,High AI adoption
2017,14047,354685,16713059,44222983,62,04,47.120850895865345,9548,0,302,0,0,713,302,10865,0.027795674183156927,High AI adoption
2017,138,7118,637863,5289917,22,05,89.61267209890418,28,0,0,0,0,0,0,28,0,High AI adoption
2017,6648,55062,1824111,6722475,81,04,33.128309905197774,4997,0,0,0,0,135,0,5132,0,High AI adoption
2017,8668,287425,5214806,18052166,72,04,18.14318865791076,6655,0,0,0,0,345,0,7000,0,High AI adoption
2017,2644,56196,2802544,83819711,42,05,49.87088048971457,2313,0,39,20,0,154,59,2585,0.022823984526112187,High AI adoption
2017,742139,15003723,924024313,4557334416,00,06,61.58633513828534,535559,4268,10405,7378,3383,36518,21166,618677,0.034211713058671975,High AI adoption
2017,500,21704,1395134,7496093,51,05,64.28004054552156,451,0,0,0,0,56,0,507,0,High AI adoption
2017,494,17375,1494876,13529656,21,06,86.03602877697841,288,0,0,0,0,0,0,288,0,High AI adoption
2017,525,62027,7646052,44418095,22,06,123.26973737243459,214,0,0,0,0,35,0,249,0,High AI adoption
2017,2434,11010,407783,2819484,53,05,37.03751135331517,1612,0,0,0,0,0,0,1612,0,High AI adoption
2017,3173,141503,4071714,11233463,11,06,28.77475389214363,2285,0,0,0,0,0,0,2285,0,High AI adoption
2017,5481,39469,2151152,5813929,54,05,54.50231827510198,4193,0,170,29,0,506,199,5097,0.039042574063174414,High AI adoption
2017,307,44985,4075419,974050,55,05,90.59506502167389,141,0,20,0,0,72,20,253,0.07905138339920949,High AI adoption
2017,74390,827026,49179920,235854698,23,06,59.46599018652376,56254,0,568,613,0,2747,1181,61363,0.019246125515375714,High AI adoption
2017,2462,69311,1790407,4163999,56,05,25.831498607724605,1775,0,0,0,0,100,0,1875,0,High AI adoption
2017,580,16780,403033,979393,61,05,24.01865315852205,306,0,0,0,0,0,0,306,0,High AI adoption
2017,5887,169759,6909921,17438847,62,05,40.70429844662139,4754,0,0,0,0,335,0,5089,0,High AI adoption
2017,787,10022,217687,1016185,71,05,21.720913989223707,0,0,0,0,0,0,0,0,NA,NA
2017,2840,17837,509253,1882444,81,05,28.550372820541572,2252,0,0,0,0,0,0,2252,0,High AI adoption
2017,182,342,7989,0,99,05,23.359649122807017,133,0,0,0,0,0,0,133,0,High AI adoption
2017,278,4063,253839,3206058,21,05,62.47575682992863,279,0,0,0,0,0,0,279,0,High AI adoption
2017,51125,856236,68345124,1176691283,42,06,79.82042801283758,37001,257,709,362,144,3258,1215,42946,0.028291342616308852,High AI adoption
2017,2477,35983,2231467,11784308,52,05,62.0144790595559,1725,0,26,16,0,169,42,1978,0.021233569261880688,High AI adoption
2017,4518,107523,1545459,5456813,72,05,14.373287575681482,3550,0,0,0,0,0,0,3550,0,High AI adoption
2017,134869,2377545,120013533,623064263,00,08,50.47792281534103,108747,704,2435,1701,582,5557,4718,124444,0.037912635402269294,High AI adoption
2017,420,1888,86110,376194,11,08,45.60911016949152,0,0,0,0,0,0,0,0,NA,NA
2017,989,22941,2020069,19266892,21,08,88.05496708949043,637,0,0,0,0,30,0,667,0,High AI adoption
2017,17372,672732,108317864,370660553,51,06,161.01190964604032,11480,508,338,208,251,862,797,14444,0.05517862088064248,High AI adoption
2017,18429,180007,9957000,53343271,23,08,55.314515546617635,15988,0,0,0,0,485,0,16473,0,High AI adoption
2017,29075,649356,73400593,424205134,52,06,113.03598180350994,20113,95,520,297,189,1573,1006,23793,0.04228134325221704,High AI adoption
2017,8077,51321,1598211,5173178,81,08,31.141462559186298,6286,0,0,0,0,580,0,6866,0,High AI adoption
2017,10390,288836,5607235,18719939,72,08,19.413213726820757,7805,0,0,0,0,1235,0,9040,0,High AI adoption
2017,2810,57711,1936918,5721060,71,08,33.5623711250888,2285,0,0,0,0,0,0,2285,0,High AI adoption
2017,323,517,12579,0,99,08,24.330754352030947,212,0,0,0,0,0,0,212,0,High AI adoption
2017,44451,327529,19458795,118913095,53,06,59.41090712578123,32571,205,705,444,0,1721,1149,36795,0.03122706889523033,High AI adoption
2017,117453,1250989,120293999,303074509,54,06,96.15911810575473,80822,1760,2983,2085,1313,4816,6381,100160,0.06370806709265175,High AI adoption
2017,3428,385776,50355929,16895961,55,06,130.53152347476257,1488,17,94,35,0,306,129,2069,0.06234896085065249,High AI adoption
2017,38456,1609553,76483350,149858242,56,06,47.51837932643411,28022,276,619,345,0,1474,964,31700,0.030410094637223974,High AI adoption
2017,12690,430921,17508550,24448793,61,06,40.63053320678268,7001,0,0,0,0,98,0,7099,0,High AI adoption
2017,92740,1880858,103748002,270019579,62,06,55.15993339210084,65550,0,1382,1161,0,4869,2543,75505,0.03367988874908946,High AI adoption
2017,66264,1751373,36898942,127912201,72,06,21.06857990844897,49855,0,588,635,0,4670,1223,56971,0.021467062189535025,High AI adoption
2017,24858,328502,15998168,47748100,71,06,48.70036712105254,19249,0,0,0,0,1470,0,20719,0,High AI adoption
2017,1376,5126,108952,1483,99,06,21.25477955520874,664,0,0,0,0,0,0,664,0,High AI adoption
2017,45496,330807,10750827,38484803,81,06,32.498789324288786,32624,0,460,0,0,2783,460,36327,0.012662757728411375,High AI adoption
2017,5929,106637,7906301,139765467,42,08,74.14219267233699,5237,18,54,70,0,132,124,5635,0.022005323868677908,High AI adoption
2017,98,3618,230075,1083060,21,16,63.59176340519624,41,0,0,0,0,0,0,41,0,High AI adoption
2017,2463,52051,1695854,3765530,61,08,32.58062285066569,1227,0,0,0,0,0,0,1227,0,High AI adoption
2017,38479,570564,22844836,145087175,00,16,40.0390420706529,32450,143,462,283,87,2062,832,36319,0.02290811971695256,High AI adoption
2017,563,4422,165621,742013,11,16,37.453867028493896,0,0,0,0,0,0,0,0,NA,NA
2017,2221,89571,7440572,40054011,51,08,83.0689843811055,1457,67,59,43,58,106,160,1950,0.08205128205128205,High AI adoption
2017,13259,282003,13530882,34632878,62,08,47.981340624035916,10267,0,0,0,0,462,0,10729,0,High AI adoption
2017,691,66592,6502305,1617780,55,08,97.64393620855358,443,0,31,0,0,92,31,597,0.051926298157453935,High AI adoption
2017,6386,194152,11531396,56947123,52,08,59.39365033581936,4464,22,124,21,0,368,145,5144,0.028188180404354588,High AI adoption
2017,10283,47075,2305148,12004847,53,08,48.96756240042485,8996,0,476,232,0,410,708,10822,0.06542228793199038,High AI adoption
2017,24544,193890,15483369,37539960,54,08,79.85645984836763,20227,389,724,539,152,717,1415,24163,0.058560609195877994,High AI adoption
2017,6825,43250,1822161,9989050,23,16,42.13089017341041,5701,0,0,0,0,0,0,5701,0,High AI adoption
2017,8255,261020,12093346,22523940,56,08,46.33110872730059,5801,0,0,0,0,228,0,6029,0,High AI adoption
2017,1578,30730,1902984,33980257,42,16,61.92593556784901,1270,0,42,0,0,108,42,1462,0.028727770177838577,High AI adoption
2017,137,3842,346898,2266573,22,16,90.29099427381573,69,0,0,0,0,0,0,69,0,High AI adoption
2017,3489,77421,6441458,125656765,42,09,83.20039782487956,2693,0,36,76,0,114,112,3031,0.03695150115473441,High AI adoption
2017,2242,44005,1303168,2917759,56,16,29.61408930803318,1997,0,0,0,0,165,0,2162,0,High AI adoption
2017,4379,32718,1837426,4894035,54,16,56.15948407604377,3590,0,117,28,0,261,145,4141,0.035015696691620385,High AI adoption
2017,501,14830,304760,397198,61,16,20.550236008091705,0,0,0,0,0,0,0,0,NA,NA
2017,486,13001,705386,3363064,51,16,54.256287977847855,430,0,0,0,0,42,0,472,0,High AI adoption
2017,4434,90303,3829471,9401991,62,16,42.40690785466707,3762,0,0,0,0,0,0,3762,0,High AI adoption
2017,55,8117,890128,8850052,22,09,109.66219046445731,21,0,0,0,0,0,0,21,0,High AI adoption
2017,2335,7663,277476,1649860,53,16,36.209839488450996,2121,0,0,0,0,0,0,2121,0,High AI adoption
2017,169,10355,744878,150824,55,16,71.93413809753743,0,0,0,0,0,20,0,20,0,High AI adoption
2017,7946,64982,4008994,18868519,23,09,61.69391523806593,5773,0,0,0,0,0,0,5773,0,High AI adoption
2017,68248,1536063,93683493,519674167,00,09,60.989355905324196,50013,226,873,389,224,3691,1486,56902,0.026115075041299077,High AI adoption
2017,774,9399,166637,553257,71,16,17.72922651345888,721,0,0,0,0,0,0,721,0,High AI adoption
2017,93,369,14824,88313,11,09,40.173441734417345,0,0,0,0,0,0,0,0,NA,NA
2017,1550,23575,1302496,8177231,52,16,55.24903499469777,921,0,52,0,0,79,52,1104,0.04710144927536232,High AI adoption
2017,2978,65768,1033798,3405655,72,16,15.718860235981024,2697,0,0,0,0,111,0,2808,0,High AI adoption
2017,7421,287133,13478170,33210793,62,09,46.94051188821905,5465,0,0,0,0,493,0,5958,0,High AI adoption
2017,8427,117430,10532899,23345061,54,09,89.69512901302903,6516,0,258,96,0,315,354,7539,0.0469558296856347,High AI adoption
2017,1992,11139,336292,1171663,81,16,30.190501840380644,2082,0,0,0,0,0,0,2082,0,High AI adoption
2017,4858,84716,3543989,9215193,56,09,41.83376221729071,3627,0,0,0,0,199,0,3826,0,High AI adoption
2017,1911,70069,3762826,8905034,62,10,53.70172258773495,1178,0,0,0,0,0,0,1178,0,High AI adoption
2017,2499,20552,1129309,6432498,53,09,54.94886142467886,1546,0,0,0,0,0,0,1546,0,High AI adoption
2017,410,7968,218685,816597,71,10,27.445406626506024,0,0,0,0,0,0,0,0,NA,NA
2017,3375,122221,18081081,112922543,52,09,147.93759664869376,2194,0,103,17,0,381,120,2815,0.04262877442273535,High AI adoption
2017,480,34939,4197613,1956040,55,09,120.14118892927674,177,0,16,0,0,36,16,245,0.0653061224489796,High AI adoption
2017,1377,79642,3851737,5570345,61,09,48.36313754049371,967,0,0,0,0,0,0,967,0,High AI adoption
2017,1111,43683,4139113,36758462,51,09,94.7534052148433,727,0,0,0,0,72,0,799,0,High AI adoption
2017,1756,40533,718608,2465129,72,10,17.728961586855156,1234,0,0,0,0,0,0,1234,0,High AI adoption
2017,1421,28326,1151020,2433167,56,10,40.63475252418273,580,0,0,0,0,0,0,580,0,High AI adoption
2017,7182,134549,2633752,8775782,72,09,19.574667964830656,5372,0,0,0,0,361,0,5733,0,High AI adoption
2017,304,6869,262369,610460,61,10,38.19609841316058,0,0,0,0,0,0,0,0,NA,NA
2017,1538,31435,778055,2391828,71,09,24.751232702401783,941,0,0,0,0,0,0,941,0,High AI adoption
2017,638,6337,649920,1198284,55,10,102.55957077481457,278,0,16,0,0,89,16,399,0.040100250626566414,High AI adoption
2017,5531,33085,1022929,3303562,81,09,30.91821066948768,4732,0,0,0,0,321,0,5053,0,High AI adoption
2017,1153,8378,253366,818760,81,10,30.241823824301743,873,0,0,0,0,0,0,873,0,High AI adoption
2017,75,153,3314,0,99,09,21.66013071895425,0,0,0,0,0,0,0,0,NA,NA
2017,2243,20703,1090372,5234269,23,10,52.66734289716466,1826,0,0,0,0,0,0,1826,0,High AI adoption
2017,46,810,43702,264753,21,09,53.953086419753085,0,0,0,0,0,0,0,0,NA,NA
2017,438491,8288023,364971944,1820944649,00,12,44.03606795010101,321459,1788,5691,4450,2032,17563,12173,365156,0.03333643702965308,High AI adoption
2017,19,254,11048,41410,21,10,43.496062992125985,0,0,0,0,0,0,0,0,NA,NA
2017,19704,395656,21878259,148052263,00,10,55.29616383929474,12857,152,652,254,141,1049,1047,16152,0.06482169390787519,High AI adoption
2017,22,2451,235687,1437306,22,10,96.15952672378621,0,0,0,0,0,0,0,0,NA,NA
2017,44,250,12635,126716,11,10,50.54,0,0,0,0,0,0,0,0,NA,NA
2017,361,6643,450963,1950566,51,10,67.88544332379949,131,0,0,0,0,26,0,157,0,High AI adoption
2017,1018,5766,279650,5993605,53,10,48.49982656954561,929,0,0,0,0,0,0,929,0,High AI adoption
2017,1349,14819,334351,1212969,11,12,22.562318644982792,890,0,0,0,0,0,0,890,0,High AI adoption
2017,52842,443514,20281074,112383064,23,12,45.728148378630664,38178,0,225,0,0,1786,225,40414,0.005567377641411392,High AI adoption
2017,307,26554,2704324,25183016,22,12,101.84243428485351,0,0,0,0,0,0,0,0,NA,NA
2017,1186,44420,4031432,49305551,52,10,90.75713642503376,634,0,88,0,0,134,88,944,0.09322033898305085,High AI adoption
2017,160,3340,214447,1812289,21,12,64.2056886227545,107,0,0,0,0,0,0,107,0,High AI adoption
2017,1050,17679,1847161,22032069,42,10,104.48334181797613,742,0,17,0,0,45,17,821,0.020706455542021926,High AI adoption
2017,2850,30715,3240380,8070592,54,10,105.49829073742471,1916,66,96,66,0,167,162,2473,0.06550748079255965,High AI adoption
2017,27182,345471,19838606,380902838,42,12,57.42480844991331,20935,46,328,117,0,1054,445,22925,0.01941112322791712,High AI adoption
2017,27,31,1160,0,99,10,37.41935483870968,0,0,0,0,0,0,0,0,NA,NA
2017,247995,5499081,295281702,1730039760,00,17,53.696554387905906,186978,1109,3244,2162,897,13471,6303,214164,0.029430716647055526,High AI adoption
