state,naics_sector,produced,n_firms,n_emp
09,44-45,No,6098,114532
09,44-45,Don't know,382,20650
10,44-45,Yes,0,0
10,44-45,No,1791,42782
10,44-45,Don't know,137,8290
11,44-45,Yes,0,0
11,44-45,No,489,10694
11,44-45,Don't know,152,3906
12,44-45,Yes,0,0
12,44-45,No,35632,728614
12,44-45,Don't know,2446,89929
13,44-45,Yes,0,0
13,44-45,No,16346,336453
13,44-45,Don't know,1175,41320
15,44-45,No,2669,50488
15,44-45,Yes,0,0
15,44-45,Don't know,296,7201
16,44-45,Yes,0,0
16,44-45,No,3844,57907
16,44-45,Don't know,106,11256
17,44-45,Yes,0,0
17,44-45,No,19037,484596
17,44-45,Don't know,1575,78731
18,44-45,Yes,0,0
18,44-45,No,11067,303497
18,44-45,Don't know,858,14449
19,44-45,Yes,0,0
19,44-45,No,7207,178442
19,44-45,Don't know,611,10254
20,44-45,Yes,0,0
20,44-45,No,5771,123455
20,44-45,Don't know,247,9213
21,44-45,Yes,0,0
21,44-45,No,7977,170485
21,44-45,Don't know,816,17965
22,44-45,Don't know,807,27049
22,44-45,Yes,0,0
22,44-45,No,7579,194212
23,44-45,Yes,0,0
23,44-45,No,4077,66446
23,44-45,Don't know,109,18295
24,44-45,Yes,0,0
24,44-45,No,8738,201740
24,44-45,Don't know,696,33735
25,44-45,Yes,0,0
25,44-45,No,12753,206671
25,44-45,Don't know,688,54720
26,44-45,Yes,0,0
26,44-45,No,18217,397420
26,44-45,Don't know,1471,32834
27,44-45,Yes,0,0
27,44-45,Don't know,662,15678
27,44-45,No,9629,257571
28,44-45,Yes,0,0
28,44-45,No,5922,113404
28,44-45,Don't know,479,20869
29,44-45,Yes,0,0
29,44-45,No,11597,294697
29,44-45,Don't know,405,32337
30,44-45,Yes,0,0
30,44-45,No,3130,41924
30,44-45,Don't know,73,7161
31,44-45,Don't know,323,7024
31,44-45,Yes,0,0
31,44-45,No,4865,103736
32,44-45,No,3908,98765
32,44-45,Yes,0,0
32,44-45,Don't know,129,14742
34,44-45,Yes,0,0
34,44-45,No,15382,286611
34,44-45,Don't know,1851,63041
33,44-45,Yes,0,0
33,44-45,No,3116,57471
33,44-45,Don't know,95,18016
35,44-45,Yes,0,0
35,44-45,No,3331,73523
35,44-45,Don't know,23,9214
36,44-45,Don't know,3574,87470
36,44-45,Yes,0,0
36,44-45,No,37732,619381
37,44-45,Yes,0,0
37,44-45,No,17483,393130
37,44-45,Don't know,1549,75944
38,44-45,Yes,0,0
38,44-45,No,2326,51585
38,44-45,Don't know,114,1691
39,44-45,Yes,0,0
39,44-45,No,15644,410928
39,44-45,Don't know,1086,34863
40,44-45,Yes,0,0
40,44-45,No,7194,174224
40,44-45,Don't know,280,10386
41,44-45,Yes,0,0
41,44-45,No,9005,163731
41,44-45,Don't know,501,29482
42,44-45,Yes,0,0
42,44-45,No,22190,515402
42,44-45,Don't know,1431,53747
45,44-45,Yes,0,0
45,44-45,No,8735,182522
45,44-45,Don't know,817,28701
44,44-45,Yes,0,0
44,44-45,No,2443,31071
44,44-45,Don't know,26,4418
46,44-45,Yes,0,0
46,44-45,No,2633,50547
46,44-45,Don't know,71,1814
47,44-45,No,11295,269310
47,44-45,Yes,0,0
47,44-45,Don't know,674,20656
48,44-45,Yes,0,0
48,44-45,No,33768,1028389
48,44-45,Don't know,2139,133918
49,44-45,Yes,0,0
49,44-45,No,5308,102516
49,44-45,Don't know,424,10705
50,44-45,Yes,0,0
50,44-45,No,1958,25015
50,44-45,Don't know,21,6141
51,44-45,Yes,0,0
51,44-45,No,12698,294690
51,44-45,Don't know,605,55217
53,44-45,Yes,0,0
53,44-45,No,11754,252229
53,44-45,Don't know,808,58223
54,44-45,Yes,0,0
54,44-45,No,2940,59555
54,44-45,Don't know,315,6667
55,44-45,Yes,0,0
55,44-45,No,10834,283894
55,44-45,Don't know,158,9704
56,44-45,Yes,0,0
56,44-45,No,1739,23459
56,44-45,Don't know,29,2921
01,48-49,Yes,0,0
01,48-49,No,1876,54493
01,48-49,Don't know,190,8464
02,48-49,Yes,0,0
02,48-49,No,779,15232
02,48-49,Don't know,34,3236
04,48-49,Yes,0,0
04,48-49,No,1960,69536
04,48-49,Don't know,244,17963
05,48-49,Yes,0,0
05,48-49,No,1882,49880
05,48-49,Don't know,195,8320
06,48-49,Yes,0,0
06,48-49,No,14914,366708
06,48-49,Don't know,1237,91115
08,48-49,Yes,0,0
08,48-49,No,2750,52811
08,48-49,Don't know,159,12657
09,48-49,Yes,0,0
09,48-49,No,858,26021
09,48-49,Don't know,84,9976
10,48-49,Yes,0,0
10,48-49,No,540,10668
10,48-49,Don't know,25,2254
12,48-49,Yes,0,0
12,48-49,No,9225,175119
12,48-49,Don't know,750,38715
11,48-49,No,70,907
11,48-49,Yes,0,0
11,48-49,Don't know,0,0
13,48-49,Yes,0,0
13,48-49,No,3742,139752
13,48-49,Don't know,277,40127
15,48-49,No,518,31353
15,48-49,Don't know,39,1745
15,48-49,Yes,0,0
16,48-49,No,1502,16485
16,48-49,Yes,0,0
16,48-49,Don't know,75,2293
17,48-49,Yes,32,3586
17,48-49,No,11438,184060
17,48-49,Don't know,1046,42440
18,48-49,Yes,0,0
18,48-49,No,4240,90077
18,48-49,Don't know,356,21568
19,48-49,Yes,0,0
19,48-49,No,3027,61517
19,48-49,Don't know,233,5962
20,48-49,Yes,0,0
20,48-49,No,1959,25339
20,48-49,Don't know,107,11741
21,48-49,Yes,0,0
21,48-49,No,2056,48461
21,48-49,Don't know,377,13863
22,48-49,No,2091,49943
22,48-49,Yes,0,0
22,48-49,Don't know,154,11091
23,48-49,Yes,0,0
23,48-49,No,987,13879
23,48-49,Don't know,17,3254
24,48-49,Yes,0,0
24,48-49,No,2445,47659
24,48-49,Don't know,94,14360
25,48-49,Yes,0,0
25,48-49,No,2207,52605
25,48-49,Don't know,0,0
26,48-49,Yes,0,0
26,48-49,No,4458,82413
26,48-49,Don't know,477,14775
27,48-49,Don't know,208,10709
27,48-49,Yes,0,0
27,48-49,No,3923,72023
28,48-49,No,1285,25550
28,48-49,Yes,0,0
28,48-49,Don't know,129,8661
29,48-49,Yes,0,0
29,48-49,No,3685,68504
29,48-49,Don't know,209,13586
30,48-49,Yes,0,0
30,48-49,No,1108,8698
30,48-49,Don't know,27,2464
31,48-49,Yes,0,0
31,48-49,No,1979,32287
31,48-49,Don't know,136,2481
32,48-49,Yes,0,0
32,48-49,No,965,42209
32,48-49,Don't know,45,4514
34,48-49,Yes,0,0
34,48-49,No,4114,105578
34,48-49,Don't know,376,27545
33,48-49,Yes,0,0
33,48-49,No,563,17806
33,48-49,Don't know,23,2616
35,48-49,Yes,0,0
35,48-49,No,696,11847
35,48-49,Don't know,72,1862
36,48-49,Yes,0,0
36,48-49,No,7135,171897
36,48-49,Don't know,672,33596
37,48-49,Don't know,283,18287
37,48-49,Yes,0,0
37,48-49,No,4202,85213
38,48-49,Yes,0,0
38,48-49,No,1078,15822
38,48-49,Don't know,69,2674
39,48-49,Yes,0,0
39,48-49,No,4700,123214
39,48-49,Don't know,475,33546
40,48-49,Yes,0,0
40,48-49,No,2077,43276
40,48-49,Don't know,115,6234
41,48-49,Yes,0,0
41,48-49,No,2251,42578
41,48-49,Don't know,75,10435
42,48-49,Yes,0,0
42,48-49,No,5960,175088
42,48-49,Don't know,642,30621
45,48-49,Yes,0,0
45,48-49,No,1638,35728
45,48-49,Don't know,194,10974
44,48-49,No,463,4191
44,48-49,Yes,0,0
44,48-49,Don't know,21,2861
46,48-49,Yes,0,0
46,48-49,No,1121,7246
46,48-49,Don't know,87,1059
47,48-49,Yes,0,0
47,48-49,No,2529,118054
47,48-49,Don't know,196,47554
48,48-49,Yes,0,0
48,48-49,No,10135,341652
48,48-49,Don't know,1077,74572
49,48-49,Yes,0,0
49,48-49,No,1816,56081
49,48-49,Don't know,50,6195
50,48-49,Yes,0,0
50,48-49,No,330,2439
50,48-49,Don't know,0,0
51,48-49,Yes,0,0
51,48-49,No,3350,96345
51,48-49,Don't know,169,14051
53,48-49,Yes,0,0
53,48-49,No,3875,74255
53,48-49,Don't know,192,12809
54,48-49,Yes,0,0
54,48-49,No,763,9569
54,48-49,Don't know,21,2186
55,48-49,Yes,0,0
55,48-49,No,4856,94507
55,48-49,Don't know,167,8916
56,48-49,No,629,6163
56,48-49,Yes,0,0
56,48-49,Don't know,21,1098
01,51,Yes,0,0
01,51,No,494,19051
01,51,Don't know,54,11999
02,51,Yes,0,0
02,51,No,94,1676
02,51,Don't know,0,0
04,51,Don't know,102,11447
04,51,Yes,25,10655
04,51,No,1074,28262
05,51,Yes,0,0
05,51,No,507,10799
05,51,Don't know,27,7045
06,51,Yes,273,121716
06,51,No,12557,273059
06,51,Don't know,748,158215
08,51,Yes,39,12666
08,51,No,1624,64932
08,51,Don't know,121,11810
09,51,Yes,19,3551
09,51,No,781,20415
09,51,Don't know,49,7433
10,51,Yes,0,0
10,51,No,166,3892
10,51,Don't know,26,937
12,51,Yes,109,21437
12,51,No,4053,92318
12,51,Don't know,292,55025
11,51,Yes,0,0
11,51,No,233,8280
11,51,Don't know,33,2277
13,51,Yes,79,20403
13,51,No,1873,56134
13,51,Don't know,130,45833
15,51,Yes,0,0
15,51,No,190,5239
15,51,Don't know,24,913
16,51,Yes,0,0
16,51,No,460,10102
16,51,Don't know,18,1074
17,51,Don't know,321,38512
17,51,Yes,77,15545
17,51,No,2229,56916
18,51,Yes,0,0
18,51,No,969,23710
18,51,Don't know,59,11906
19,51,Yes,0,0
19,51,No,633,17531
19,51,Don't know,53,4867
20,51,Yes,0,0
20,51,No,451,25413
20,51,Don't know,77,6537
21,51,Yes,0,0
21,51,No,608,17818
21,51,Don't know,50,7267
22,51,Yes,0,0
22,51,No,495,12582
22,51,Don't know,46,8980
23,51,No,289,6125
23,51,Yes,0,0
23,51,Don't know,41,1563
24,51,Don't know,102,9648
24,51,Yes,35,14254
24,51,No,1086,26987
25,51,Yes,51,30902
25,51,No,1536,49983
25,51,Don't know,191,20055
26,51,Yes,43,7810
26,51,No,1689,43237
26,51,Don't know,78,20511
27,51,Yes,53,9238
27,51,No,1342,31827
27,51,Don't know,40,5963
28,51,Yes,0,0
28,51,No,212,8450
28,51,Don't know,39,5348
29,51,Yes,45,2636
29,51,No,923,39600
29,51,Don't know,115,21073
30,51,Yes,0,0
30,51,No,335,5080
30,51,Don't know,17,1813
31,51,Yes,0,0
31,51,No,310,14432
31,51,Don't know,28,2251
32,51,Yes,0,0
32,51,No,641,8497
32,51,Don't know,60,3309
34,51,Yes,58,32482
34,51,No,1432,43962
34,51,Don't know,141,23515
33,51,Yes,17,4033
33,51,No,306,8610
33,51,Don't know,16,1196
35,51,Yes,0,0
35,51,No,327,8907
35,51,Don't know,64,1207
36,51,Yes,109,48275
36,51,No,4763,120331
36,51,Don't know,430,37758
37,51,Yes,40,24956
37,51,No,1452,46625
37,51,Don't know,170,18440
38,51,Don't know,0,0
38,51,Yes,0,0
38,51,No,163,3525
39,51,Yes,46,11558
39,51,No,1393,47957
39,51,Don't know,80,40644
40,51,Yes,0,0
40,51,No,748,11056
40,51,Don't know,24,10652
41,51,Yes,48,3133
41,51,No,1010,23579
41,51,Don't know,53,4422
42,51,Yes,47,29477
42,51,No,1538,71645
42,51,Don't know,76,14597
44,51,Yes,0,0
44,51,No,0,0
44,51,Don't know,0,0
45,51,Yes,0,0
45,51,No,576,20268
45,51,Don't know,48,5705
46,51,Yes,0,0
46,51,No,212,5460
46,51,Don't know,35,1477
47,51,Yes,0,0
47,51,No,1165,30280
47,51,Don't know,67,14506
48,51,Yes,152,45891
48,51,No,3569,121162
48,51,Don't know,291,86300
49,51,Yes,38,8112
49,51,No,822,29691
49,51,Don't know,73,7566
50,51,Yes,0,0
50,51,No,205,2757
50,51,Don't know,0,0
51,51,Yes,54,27037
51,51,No,1527,45594
51,51,Don't know,114,15884
53,51,Don't know,102,15133
53,51,Yes,178,91626
53,51,No,1623,54301
54,51,Yes,0,0
54,51,No,151,3769
54,51,Don't know,19,1822
55,51,Yes,0,0
55,51,No,671,22557
55,51,Don't know,99,16048
56,51,Yes,0,0
56,51,No,173,2176
56,51,Don't know,0,0
01,52,Yes,0,0
01,52,No,2349,50940
01,52,Don't know,30,15843
02,52,Yes,0,0
02,52,No,315,5567
02,52,Don't know,0,0
04,52,Yes,0,0
04,52,No,4272,66782
04,52,Don't know,306,46474
05,52,Yes,0,0
05,52,No,1801,27262
05,52,Don't know,195,2239
06,52,Yes,15,2953
06,52,No,21257,310815
06,52,Don't know,1364,125411
08,52,Yes,0,0
08,52,No,4784,62546
08,52,Don't know,220,20274
09,52,Yes,0,0
09,52,No,2614,64534
09,52,Don't know,174,18104
10,52,Yes,0,0
10,52,No,799,18951
10,52,Don't know,71,3421
12,52,Yes,136,2628
12,52,No,13375,174050
12,52,Don't know,1176,65426
11,52,Yes,0,0
11,52,No,305,7148
11,52,Don't know,74,2675
13,52,Yes,0,0
13,52,No,6201,124211
13,52,Don't know,431,34146
15,52,Yes,0,0
15,52,No,644,14372
15,52,Don't know,18,320
16,52,Yes,0,0
16,52,No,1089,10251
16,52,Don't know,48,3315
17,52,Yes,95,4475
17,52,No,9363,196264
17,52,Don't know,902,78232
18,52,Yes,0,0
18,52,No,4477,83703
18,52,Don't know,146,15377
19,52,Yes,0,0
19,52,No,3489,77396
19,52,Don't know,92,23959
20,52,Yes,0,0
20,52,No,3051,41695
20,52,Don't know,106,4580
21,52,Yes,0,0
21,52,No,2516,32891
21,52,Don't know,221,27834
22,52,Yes,0,0
22,52,No,2545,39021
22,52,Don't know,231,5512
23,52,Yes,0,0
23,52,No,788,16047
23,52,Don't know,18,685
24,52,Yes,0,0
24,52,No,2800,53640
24,52,Don't know,252,14985
25,52,Yes,0,0
25,52,No,3679,102861
25,52,Don't know,149,16725
26,52,Yes,0,0
26,52,No,4824,104971
26,52,Don't know,340,23007
27,52,Yes,0,0
27,52,No,4682,89531
27,52,Don't know,288,30711
28,52,Yes,0,0
28,52,No,1452,18759
28,52,Don't know,122,3525
29,52,Yes,0,0
29,52,No,4851,92315
29,52,Don't know,375,20685
30,52,Yes,0,0
30,52,No,885,8510
30,52,Don't know,12,2012
31,52,Yes,0,0
31,52,No,1667,50831
31,52,Don't know,202,3693
32,52,No,1818,18698
32,52,Yes,0,0
32,52,Don't know,66,5939
34,52,Yes,0,0
34,52,No,4680,102359
34,52,Don't know,275,27182
33,52,Yes,0,0
33,52,No,1042,22721
33,52,Don't know,71,5542
35,52,Yes,0,0
35,52,No,822,5855
35,52,Don't know,35,4402
36,52,Yes,0,0
36,52,No,10255,236819
36,52,Don't know,764,57562
37,52,Yes,0,0
37,52,No,5724,85538
37,52,Don't know,222,63392
38,52,Yes,0,0
38,52,No,1123,11464
38,52,Don't know,0,0
39,52,Don't know,429,48792
39,52,Yes,0,0
39,52,No,7210,167420
40,52,Yes,0,0
40,52,No,3306,32737
40,52,Don't know,65,2932
41,52,Yes,0,0
41,52,No,2558,40569
41,52,Don't know,107,13203
42,52,No,6849,178140
42,52,Yes,0,0
42,52,Don't know,432,48415
44,52,Yes,0,0
44,52,No,505,20822
44,52,Don't know,18,3373
45,52,Yes,0,0
45,52,No,2773,37312
45,52,Don't know,174,24050
46,52,Yes,0,0
46,52,No,980,14802
46,52,Don't know,55,5698
47,52,Yes,0,0
47,52,No,3612,99765
47,52,Don't know,262,14784
48,52,Yes,53,673
48,52,No,14922,340452
48,52,Don't know,924,112410
49,52,Yes,0,0
49,52,No,2770,48236
49,52,Don't know,241,8933
50,52,Yes,0,0
50,52,No,468,8879
50,52,Don't know,0,0
51,52,Yes,0,0
51,52,No,4739,121536
51,52,Don't know,298,24045
53,52,Yes,0,0
53,52,No,4056,77035
53,52,Don't know,386,11879
54,52,Yes,0,0
54,52,No,0,0
54,52,Don't know,65,522
55,52,No,3959,110506
55,52,Yes,0,0
55,52,Don't know,297,11424
56,52,Yes,0,0
56,52,No,409,4489
56,52,Don't know,0,0
01,53,Yes,0,0
01,53,No,2770,27214
01,53,Don't know,0,0
02,53,Yes,0,0
02,53,No,913,6195
02,53,Don't know,0,0
04,53,Yes,0,0
04,53,No,6264,30122
04,53,Don't know,238,5752
05,53,Yes,0,0
05,53,No,1732,6615
05,53,Don't know,0,0
06,53,Yes,0,0
06,53,No,33391,219433
06,53,Don't know,2166,19700
08,53,Yes,0,0
08,53,No,9864,35536
08,53,Don't know,285,1004
09,53,Yes,0,0
09,53,No,1558,13620
09,53,Don't know,0,0
10,53,Don't know,0,0
10,53,Yes,0,0
10,53,No,1016,2643
12,53,Yes,0,0
12,53,No,23110,100226
12,53,Don't know,1557,5308
11,53,Yes,0,0
11,53,No,476,3828
11,53,Don't know,0,0
13,53,Yes,0,0
13,53,No,6782,30235
13,53,Don't know,364,2949
15,53,Yes,0,0
15,53,No,1359,6384
15,53,Don't know,0,0
16,53,Yes,0,0
16,53,No,2168,5099
16,53,Don't know,0,0
17,53,Yes,0,0
17,53,No,6761,48094
17,53,Don't know,0,0
18,53,Yes,0,0
18,53,No,4609,23881
18,53,Don't know,236,815
19,53,Yes,0,0
19,53,No,2169,6313
19,53,Don't know,0,0
20,53,Yes,0,0
20,53,No,2747,17256
20,53,Don't know,0,0
21,53,Yes,0,0
21,53,No,2463,10204
21,53,Don't know,294,1092
22,53,Yes,0,0
22,53,No,2995,54082
22,53,Don't know,0,0
23,53,Yes,0,0
23,53,No,1174,4998
23,53,Don't know,0,0
24,53,Yes,0,0
24,53,No,4131,23400
24,53,Don't know,251,3142
25,53,Yes,0,0
25,53,No,4114,27035
25,53,Don't know,250,2215
26,53,Yes,0,0
26,53,No,5156,31701
26,53,Don't know,319,2993
27,53,Yes,0,0
27,53,No,5177,40144
27,53,Don't know,0,0
28,53,Yes,0,0
28,53,No,1335,6750
28,53,Don't know,0,0
29,53,Yes,0,0
29,53,No,4036,29806
29,53,Don't know,0,0
30,53,Yes,0,0
30,53,No,1651,3948
30,53,Don't know,0,0
31,53,Yes,0,0
31,53,No,2032,24361
31,53,Don't know,268,709
32,53,Yes,0,0
32,53,No,2776,13217
32,53,Don't know,0,0
33,53,Don't know,0,0
33,53,Yes,0,0
33,53,No,996,4367
35,53,Yes,0,0
35,53,No,1604,5572
35,53,Don't know,0,0
34,53,Yes,0,0
34,53,No,0,0
34,53,Don't know,363,2189
36,53,Yes,0,0
36,53,No,17443,87851
36,53,Don't know,1321,8785
37,53,Yes,0,0
37,53,No,8886,45315
37,53,Don't know,574,1862
38,53,Yes,0,0
38,53,No,944,3450
38,53,Don't know,0,0
39,53,Yes,0,0
39,53,No,5859,40933
39,53,Don't know,397,1603
40,53,Yes,0,0
40,53,No,2779,14687
40,53,Don't know,0,0
41,53,Yes,0,0
41,53,No,4651,19293
41,53,Don't know,0,0
42,53,Yes,0,0
42,53,No,5269,32787
42,53,Don't know,267,2046
44,53,Yes,0,0
44,53,No,0,0
44,53,Don't know,0,0
45,53,No,3731,16248
45,53,Yes,0,0
45,53,Don't know,219,2019
46,53,Yes,0,0
46,53,No,850,2256
46,53,Don't know,0,0
47,53,Yes,0,0
47,53,No,3235,33863
47,53,Don't know,0,0
48,53,Yes,0,0
48,53,No,15977,104956
48,53,Don't know,1080,9263
49,53,Yes,0,0
49,53,No,3993,13398
49,53,Don't know,0,0
50,53,Yes,0,0
50,53,No,0,0
50,53,Don't know,0,0
51,53,Yes,0,0
51,53,No,5993,39858
51,53,Don't know,562,3732
53,53,Yes,0,0
53,53,No,7072,37156
53,53,Don't know,251,1236
54,53,Yes,0,0
54,53,No,1178,5999
54,53,Don't know,0,0
55,53,Yes,0,0
55,53,No,3375,43353
55,53,Don't know,303,1256
56,53,Yes,0,0
56,53,No,942,3707
56,53,Don't know,0,0
01,54,Yes,245,3351
01,54,No,6730,65159
01,54,Don't know,399,22360
02,54,Yes,0,0
02,54,No,1500,14604
02,54,Don't know,41,2143
04,54,Yes,128,3005
04,54,No,13398,87743
04,54,Don't know,618,11917
05,54,Yes,62,883
05,54,No,4656,23729
05,54,Don't know,253,2454
06,54,Yes,1905,56067
06,54,No,86802,723858
06,54,Don't know,4957,171323
08,54,Yes,332,5882
08,54,No,21584,201094
08,54,Don't know,825,27168
09,54,Yes,146,5393
09,54,No,6792,63708
09,54,Don't know,367,6574
10,54,Yes,71,1511
10,54,No,2193,23191
10,54,Don't know,88,1387
12,54,Yes,559,20432
12,54,No,57382,356336
12,54,Don't know,2093,58063
11,54,Yes,100,2477
11,54,No,3388,70010
11,54,Don't know,211,11945
13,54,Yes,214,11657
13,54,No,20854,168386
13,54,Don't know,1144,46682
15,54,Don't know,141,2721
15,54,Yes,0,0
15,54,No,2191,18053
16,54,Yes,63,835
16,54,No,3872,28228
16,54,Don't know,103,7596
17,54,Yes,297,18565
17,54,No,28811,233716
17,54,Don't know,1363,50629
18,54,Yes,172,2603
18,54,No,9895,97075
18,54,Don't know,289,11410
19,54,Yes,32,4103
19,54,No,5328,48211
19,54,Don't know,280,5205
20,54,Yes,30,2795
20,54,No,5550,38685
20,54,Don't know,421,5593
21,54,Yes,81,1614
21,54,No,6543,44665
21,54,Don't know,394,12383
22,54,Yes,0,0
22,54,No,8232,67036
22,54,Don't know,363,5033
23,54,Yes,0,0
23,54,No,2936,14659
23,54,Don't know,48,901
24,54,Yes,0,0
24,54,No,15189,182877
24,54,Don't know,830,40833
25,54,Yes,193,10908
25,54,No,15592,187571
25,54,Don't know,772,37733
26,54,Don't know,1081,26464
26,54,Yes,246,25463
26,54,No,15569,144373
27,54,Yes,92,4799
27,54,No,13733,112236
27,54,Don't know,453,14906
28,54,Yes,0,0
28,54,No,3277,24350
28,54,Don't know,104,2152
29,54,Yes,82,30295
29,54,No,10858,98427
29,54,Don't know,429,17713
30,54,Yes,0,0
30,54,No,3093,11911
30,54,Don't know,228,1547
31,54,Yes,0,0
31,54,No,4097,34701
31,54,Don't know,70,2680
32,54,Don't know,455,6297
32,54,Yes,83,1237
32,54,No,5778,33907
33,54,Yes,43,772
33,54,No,2857,29965
33,54,Don't know,145,2538
35,54,Yes,0,0
35,54,No,3291,21246
35,54,Don't know,199,41797
34,54,Yes,492,17410
34,54,No,19132,170666
34,54,Don't know,1149,49025
36,54,No,41197,442404
36,54,Yes,278,34116
36,54,Don't know,2405,75436
37,54,Yes,146,8067
37,54,No,20105,154134
37,54,Don't know,695,28812
38,54,Yes,0,0
38,54,No,1545,12576
38,54,Don't know,38,459
39,54,Yes,338,11551
39,54,No,19234,215388
39,54,Don't know,672,22204
40,54,Yes,43,1209
40,54,No,7573,51093
40,54,Don't know,558,10857
41,54,Yes,88,2346
41,54,No,10511,72083
41,54,Don't know,570,4558
42,54,Yes,273,12996
42,54,No,22720,230343
42,54,Don't know,943,32346
44,54,Yes,0,0
44,54,No,2040,12563
44,54,Don't know,46,2540
45,54,Yes,77,1371
45,54,No,8554,78608
45,54,Don't know,342,9085
46,54,Yes,0,0
46,54,No,1490,7602
46,54,Don't know,95,469
47,54,Yes,49,1603
47,54,No,7987,85806
47,54,Don't know,430,19738
48,54,Yes,967,29815
48,54,No,47749,467874
48,54,Don't know,1831,102640
49,54,Yes,87,3652
49,54,No,8341,69806
49,54,Don't know,502,6070
50,54,Yes,0,0
50,54,No,1825,8922
50,54,Don't know,50,770
51,54,Yes,465,19124
51,54,No,21624,264964
51,54,Don't know,1026,86085
53,54,Yes,399,9987
53,54,No,16694,158500
53,54,Don't know,673,44321
54,54,Yes,0,0
54,54,No,2075,19989
54,54,Don't know,115,1273
55,54,Yes,114,3814
55,54,No,9493,79912
55,54,Don't know,388,11232
56,54,Yes,0,0
56,54,No,0,0
56,54,Don't know,35,132
01,55,Yes,0,0
01,55,No,366,20278
01,55,Don't know,18,1699
02,55,Yes,0,0
02,55,No,86,3185
02,55,Don't know,56,3314
04,55,Yes,0,0
04,55,No,415,25255
04,55,Don't know,36,3895
05,55,Yes,0,0
05,55,No,228,44705
05,55,Don't know,0,0
06,55,Yes,19,71100
06,55,No,1648,165139
06,55,Don't know,275,28261
08,55,Yes,0,0
08,55,No,548,39872
08,55,Don't know,36,5326
09,55,Yes,0,0
09,55,No,208,11057
09,55,Don't know,26,2145
10,55,Yes,0,0
10,55,No,370,4197
10,55,Don't know,32,1782
12,55,Yes,0,0
12,55,No,1237,89696
12,55,Don't know,60,14194
11,55,Yes,0,0
11,55,No,57,1870
11,55,Don't know,26,393
13,55,Yes,0,0
13,55,No,537,77001
13,55,Don't know,64,24129
15,55,Yes,0,0
15,55,No,161,3543
15,55,Don't know,0,0
16,55,Yes,0,0
16,55,No,175,7474
16,55,Don't know,0,0
17,55,Yes,16,14045
17,55,No,898,124986
17,55,Don't know,184,40346
18,55,Yes,0,0
18,55,No,272,27679
18,55,Don't know,32,18698
19,55,Don't know,0,0
19,55,Yes,0,0
19,55,No,315,15721
20,55,Yes,0,0
20,55,No,340,17144
20,55,Don't know,21,1736
21,55,Yes,0,0
21,55,No,455,24329
21,55,Don't know,66,2915
22,55,Yes,0,0
22,55,No,513,21856
22,55,Don't know,20,3663
23,55,Yes,0,0
23,55,No,45,5744
23,55,Don't know,0,0
24,55,Yes,0,0
24,55,No,300,16277
24,55,Don't know,28,3710
25,55,Yes,0,0
25,55,No,0,0
25,55,Don't know,55,30676
26,55,Yes,0,0
26,55,No,0,0
26,55,Don't know,54,22054
27,55,Yes,0,0
27,55,No,503,73713
27,55,Don't know,36,3399
28,55,Yes,0,0
28,55,No,161,9468
28,55,Don't know,0,0
29,55,Yes,0,0
29,55,No,474,40509
29,55,Don't know,32,4291
30,55,Yes,0,0
30,55,No,39,1229
30,55,Don't know,0,0
31,55,Yes,0,0
31,55,No,204,11068
31,55,Don't know,19,5093
32,55,Yes,0,0
32,55,No,0,0
32,55,Don't know,0,0
33,55,Yes,0,0
33,55,No,87,3692
33,55,Don't know,16,602
35,55,Yes,0,0
35,55,No,108,2571
35,55,Don't know,0,0
34,55,Yes,0,0
34,55,No,414,58466
34,55,Don't know,62,29967
36,55,Yes,0,0
36,55,No,1272,92869
36,55,Don't know,70,20515
37,55,Yes,0,0
37,55,No,635,45222
37,55,Don't know,45,15418
38,55,Yes,0,0
38,55,No,85,5397
38,55,Don't know,0,0
39,55,Yes,0,0
39,55,No,942,82868
39,55,Don't know,76,25519
40,55,Yes,0,0
40,55,No,421,27234
40,55,Don't know,17,7919
41,55,Yes,0,0
41,55,No,176,35575
41,55,Don't know,0,0
42,55,Yes,0,0
42,55,No,790,97204
42,55,Don't know,77,24284
44,55,Yes,0,0
44,55,No,81,4285
44,55,Don't know,0,0
45,55,Yes,0,0
45,55,No,329,18760
45,55,Don't know,18,3046
46,55,Yes,0,0
46,55,No,0,0
46,55,Don't know,0,0
47,55,Yes,0,0
47,55,No,394,50709
47,55,Don't know,43,25180
48,55,Yes,0,0
48,55,No,1958,180057
48,55,Don't know,205,65484
49,55,Yes,0,0
49,55,No,322,15849
49,55,Don't know,75,3660
50,55,Yes,0,0
50,55,No,16,471
50,55,Don't know,0,0
51,55,Yes,0,0
51,55,No,629,55991
51,55,Don't know,43,5306
53,55,Yes,0,0
53,55,No,699,38477
53,55,Don't know,71,30864
54,55,Yes,0,0
54,55,No,0,0
54,55,Don't know,0,0
55,55,Yes,0,0
55,55,No,808,49759
55,55,Don't know,32,5941
56,55,Yes,0,0
56,55,No,0,0
56,55,Don't know,0,0
01,56,Yes,0,0
01,56,No,3232,145508
01,56,Don't know,181,7757
02,56,Yes,0,0
02,56,No,670,13395
02,56,Don't know,0,0
04,56,Yes,0,0
04,56,No,5116,198981
04,56,Don't know,271,5445
05,56,Yes,0,0
05,56,No,1887,36796
05,56,Don't know,62,2556
06,56,Yes,217,4574
06,56,No,28638,1014531
