state,naics_sector,produced,n_firms,n_emp
23,11,Yes,0,0
23,11,No,633,3345
23,11,Don't know,0,0
25,11,Yes,0,0
25,11,No,0,0
25,11,Don't know,0,0
26,11,Yes,0,0
26,11,No,0,0
26,11,Don't know,0,0
27,11,Yes,0,0
27,11,No,0,0
27,11,Don't know,0,0
28,11,No,352,2754
28,11,Yes,0,0
28,11,Don't know,0,0
29,11,Yes,0,0
29,11,No,0,0
29,11,Don't know,0,0
30,11,Yes,0,0
30,11,No,0,0
30,11,Don't know,0,0
31,11,Yes,0,0
31,11,No,0,0
31,11,Don't know,0,0
32,11,Yes,0,0
32,11,No,0,0
32,11,Don't know,0,0
34,11,Yes,0,0
34,11,No,0,0
34,11,Don't know,0,0
33,11,Yes,0,0
33,11,No,0,0
33,11,Don't know,0,0
36,11,Yes,0,0
36,11,No,579,1748
36,11,Don't know,0,0
35,11,Yes,0,0
35,11,No,0,0
35,11,Don't know,0,0
37,11,Yes,0,0
37,11,No,504,2313
37,11,Don't know,0,0
38,11,Yes,0,0
38,11,No,0,0
38,11,Don't know,0,0
39,11,Yes,0,0
39,11,No,0,0
39,11,Don't know,0,0
40,11,Yes,0,0
40,11,No,0,0
40,11,Don't know,0,0
41,11,Yes,0,0
41,11,No,1239,23716
41,11,Don't know,0,0
42,11,Yes,0,0
42,11,No,0,0
42,11,Don't know,0,0
45,11,Yes,0,0
45,11,No,0,0
45,11,Don't know,0,0
44,11,Yes,0,0
44,11,No,0,0
44,11,Don't know,0,0
46,11,Yes,0,0
46,11,No,0,0
46,11,Don't know,0,0
47,11,Yes,0,0
47,11,No,0,0
47,11,Don't know,0,0
48,11,Yes,0,0
48,11,No,1151,8355
48,11,Don't know,0,0
49,11,Yes,0,0
49,11,No,0,0
49,11,Don't know,0,0
50,11,Yes,0,0
50,11,No,0,0
50,11,Don't know,0,0
53,11,Yes,0,0
53,11,No,1287,15677
53,11,Don't know,0,0
51,11,Don't know,0,0
51,11,Yes,0,0
51,11,No,744,6212
54,11,Yes,0,0
54,11,No,0,0
54,11,Don't know,0,0
55,11,Yes,0,0
55,11,No,838,4222
55,11,Don't know,0,0
56,11,Yes,0,0
56,11,No,0,0
56,11,Don't know,0,0
01,21,Don't know,0,0
01,21,Yes,0,0
01,21,No,62,4355
02,21,Yes,0,0
02,21,No,69,5765
02,21,Don't know,0,0
04,21,Yes,0,0
04,21,No,86,3482
04,21,Don't know,0,0
05,21,Yes,0,0
05,21,No,319,6443
05,21,Don't know,0,0
06,21,Yes,0,0
06,21,No,321,11764
06,21,Don't know,0,0
08,21,Yes,0,0
08,21,No,674,14422
08,21,Don't know,22,2812
09,21,Yes,0,0
09,21,No,0,0
09,21,Don't know,0,0
10,21,Yes,0,0
10,21,No,0,0
10,21,Don't know,0,0
11,21,Yes,0,0
11,21,No,0,0
11,21,Don't know,0,0
12,21,Yes,0,0
12,21,No,115,3858
12,21,Don't know,0,0
13,21,Don't know,0,0
13,21,Yes,0,0
13,21,No,62,2203
15,21,Yes,0,0
15,21,No,0,0
15,21,Don't know,0,0
16,21,Yes,0,0
16,21,No,41,702
16,21,Don't know,0,0
17,21,Yes,0,0
17,21,No,406,7278
17,21,Don't know,0,0
18,21,Yes,0,0
18,21,No,87,4898
18,21,Don't know,0,0
19,21,Yes,0,0
19,21,No,47,2249
19,21,Don't know,0,0
20,21,Yes,0,0
20,21,No,0,0
20,21,Don't know,0,0
21,21,Yes,0,0
21,21,No,328,16046
21,21,Don't know,0,0
22,21,Don't know,29,1668
22,21,Yes,0,0
22,21,No,967,25804
24,21,Don't know,0,0
24,21,Yes,0,0
24,21,No,0,0
23,21,Yes,0,0
23,21,No,0,0
23,21,Don't know,0,0
25,21,Yes,0,0
25,21,No,0,0
25,21,Don't know,0,0
26,21,Yes,0,0
26,21,No,231,3402
26,21,Don't know,0,0
27,21,Yes,0,0
27,21,No,117,6254
27,21,Don't know,0,0
28,21,Yes,0,0
28,21,No,223,2237
28,21,Don't know,0,0
29,21,Yes,0,0
29,21,No,123,1928
29,21,Don't know,0,0
30,21,Yes,0,0
30,21,No,195,2486
30,21,Don't know,0,0
31,21,Yes,0,0
31,21,No,78,587
31,21,Don't know,0,0
32,21,Yes,0,0
32,21,No,126,9175
32,21,Don't know,0,0
34,21,Yes,0,0
34,21,No,22,412
34,21,Don't know,0,0
33,21,Yes,0,0
33,21,No,0,0
33,21,Don't know,0,0
36,21,Yes,0,0
36,21,No,136,2120
36,21,Don't know,0,0
35,21,Yes,0,0
35,21,No,391,10737
35,21,Don't know,24,799
37,21,Yes,0,0
37,21,No,64,2627
37,21,Don't know,0,0
38,21,Yes,0,0
38,21,No,285,10293
