state,naics2017,firms_using_artificial_intelligence,firms_using_cloud_based,firms_using_robotics,firms_using_specialized_equipment,firms_using_specialized_software,emp_using_artificial_intelligence,emp_using_cloud_based,emp_using_robotics,emp_using_specialized_equipment,emp_using_specialized_software
12,81,0,5627,0,5656,6980,0,49332,0,47341,67344
12,99,0,0,0,0,0,0,0,0,0,0
13,00,4880,50649,3284,26194,58459,410088,1635485,507099,989651,1655993
13,11,0,0,0,0,0,0,0,0,0,0
13,21,0,0,0,0,0,0,0,0,0,0
13,22,0,0,0,0,0,0,0,0,0,0
13,23,94,4354,103,2985,4832,8049,94129,6137,59800,93410
13,31-33,230,1830,537,2456,2641,60952,182235,108761,185024,209026
13,42,227,3303,434,2057,3417,16053,81494,25493,66405,92844
13,44-45,574,4013,337,2462,5143,107908,262130,39443,163405,242421
13,48-49,80,1136,98,956,1336,38795,124392,66132,98344,125547
13,51,217,1243,97,521,1350,23642,63632,5953,34035,59261
13,52,424,2761,52,432,3449,19670,76850,11143,16221,79222
13,53,0,2741,0,0,2867,0,14344,0,0,15187
13,54,973,9734,545,3325,13494,33501,123416,33397,39136,150227
13,55,57,215,92,155,321,21173,64867,41281,52999,73022
13,56,279,3120,110,812,3329,20278,135029,5408,27358,137528
13,61,0,1009,0,0,645,0,6903,0,0,6592
13,62,256,6499,0,4665,7707,5198,127174,0,75740,127815
13,71,0,602,0,0,720,0,18835,0,0,13805
13,72,0,3675,0,1290,4097,0,188856,0,70000,176234
13,81,0,2183,0,2492,3314,0,33538,0,30723,38829
13,99,0,0,0,0,0,0,0,0,0,0
15,00,720,5713,312,3113,6251,23614,144943,30526,79791,151962
15,11,0,0,0,0,0,0,0,0,0,0
15,21,0,0,0,0,0,0,0,0,0,0
15,22,0,0,0,0,0,0,0,0,0,0
15,23,0,193,0,385,578,0,3668,0,8226,11599
15,31-33,0,167,0,157,161,0,4356,0,5116,5058
15,42,14,260,16,88,270,418,5898,950,1835,5887
15,44-45,74,448,0,163,409,8151,19295,0,16775,18630
15,48-49,0,216,0,0,125,0,24650,0,0,20647
