state,naics_sector,impact,n_firms,n_emp
20,42,Decreased number of workers employed by this business,0,0
20,42,Did not change number of workers employed by this business,52,2339
20,42,Increased skill level of workers employed by this business,35,4123
20,42,Decreased skill level of workers employed by this business,0,0
20,42,Did not change skill level of workers employed by this business,38,871
20,42,Increased STEM skills of workers employed by this business,33,4035
20,42,Decreased STEM skills of workers employed by this business,0,0
20,42,Did not change STEM skills of workers employed by this business,35,906
20,42,"Not applicable, did not employ workers with STEM skills",0,0
21,42,Increased number of workers employed by this business,0,0
21,42,Decreased number of workers employed by this business,0,0
21,42,Did not change number of workers employed by this business,38,3183
21,42,Increased skill level of workers employed by this business,26,2182
21,42,Decreased STEM skills of workers employed by this business,0,0
21,42,Decreased skill level of workers employed by this business,0,0
21,42,Did not change skill level of workers employed by this business,26,2055
21,42,Increased STEM skills of workers employed by this business,27,2190
21,42,Did not change STEM skills of workers employed by this business,19,1857
21,42,"Not applicable, did not employ workers with STEM skills",0,0
22,42,Increased number of workers employed by this business,0,0
22,42,Decreased number of workers employed by this business,0,0
22,42,Did not change number of workers employed by this business,102,3089
22,42,Increased skill level of workers employed by this business,0,0
22,42,Decreased skill level of workers employed by this business,0,0
22,42,Did not change skill level of workers employed by this business,92,1907
22,42,"Not applicable, did not employ workers with STEM skills",0,0
22,42,Increased STEM skills of workers employed by this business,0,0
22,42,Decreased STEM skills of workers employed by this business,0,0
22,42,Did not change STEM skills of workers employed by this business,31,1632
23,42,Increased number of workers employed by this business,0,0
23,42,Decreased number of workers employed by this business,0,0
23,42,Did not change number of workers employed by this business,21,529
23,42,Increased skill level of workers employed by this business,14,569
23,42,Decreased skill level of workers employed by this business,0,0
23,42,Did not change skill level of workers employed by this business,0,0
23,42,"Not applicable, did not employ workers with STEM skills",0,0
23,42,Increased STEM skills of workers employed by this business,16,572
23,42,Decreased STEM skills of workers employed by this business,0,0
23,42,Did not change STEM skills of workers employed by this business,0,0
24,42,Did not change skill level of workers employed by this business,76,2495
24,42,Increased STEM skills of workers employed by this business,114,3786
24,42,Decreased STEM skills of workers employed by this business,0,0
24,42,Did not change STEM skills of workers employed by this business,34,1996
24,42,"Not applicable, did not employ workers with STEM skills",0,0
25,42,Increased number of workers employed by this business,25,988
25,42,Decreased number of workers employed by this business,0,0
25,42,Did not change number of workers employed by this business,120,9625
25,42,Increased skill level of workers employed by this business,47,5145
25,42,Decreased skill level of workers employed by this business,0,0
25,42,Did not change skill level of workers employed by this business,103,5508
25,42,Increased STEM skills of workers employed by this business,52,6002
25,42,Decreased STEM skills of workers employed by this business,0,0
25,42,Did not change STEM skills of workers employed by this business,92,4549
25,42,"Not applicable, did not employ workers with STEM skills",0,0
24,42,Increased number of workers employed by this business,0,0
24,42,Decreased number of workers employed by this business,0,0
24,42,Did not change number of workers employed by this business,153,4944
24,42,Increased skill level of workers employed by this business,109,3396
24,42,Decreased skill level of workers employed by this business,0,0
26,42,Increased number of workers employed by this business,22,2888
26,42,Decreased number of workers employed by this business,0,0
26,42,Did not change number of workers employed by this business,113,8181
26,42,Increased skill level of workers employed by this business,56,6213
26,42,Decreased skill level of workers employed by this business,0,0
26,42,Did not change skill level of workers employed by this business,100,6688
26,42,"Not applicable, did not employ workers with STEM skills",0,0
26,42,Increased STEM skills of workers employed by this business,59,5683
26,42,Decreased STEM skills of workers employed by this business,0,0
26,42,Did not change STEM skills of workers employed by this business,89,5048
27,42,Increased number of workers employed by this business,16,2191
27,42,Decreased number of workers employed by this business,0,0
27,42,Did not change number of workers employed by this business,113,15608
27,42,Increased skill level of workers employed by this business,37,7459
27,42,Decreased skill level of workers employed by this business,0,0
27,42,Did not change skill level of workers employed by this business,97,10533
27,42,Increased STEM skills of workers employed by this business,38,8428
27,42,Decreased STEM skills of workers employed by this business,0,0
27,42,Did not change STEM skills of workers employed by this business,28,8992
27,42,"Not applicable, did not employ workers with STEM skills",0,0
28,42,Increased number of workers employed by this business,0,0
28,42,Decreased number of workers employed by this business,0,0
28,42,Did not change number of workers employed by this business,29,926
28,42,Increased skill level of workers employed by this business,18,1397
28,42,Decreased skill level of workers employed by this business,0,0
28,42,Did not change skill level of workers employed by this business,16,170
28,42,Increased STEM skills of workers employed by this business,19,1425
28,42,Decreased STEM skills of workers employed by this business,0,0
28,42,Did not change STEM skills of workers employed by this business,0,0
28,42,"Not applicable, did not employ workers with STEM skills",0,0
29,42,Increased number of workers employed by this business,17,1426
29,42,Decreased number of workers employed by this business,0,0
29,42,Did not change number of workers employed by this business,49,3853
29,42,Increased skill level of workers employed by this business,38,3257
29,42,Decreased skill level of workers employed by this business,0,0
29,42,Did not change skill level of workers employed by this business,40,2117
29,42,Increased STEM skills of workers employed by this business,35,3208
29,42,Decreased STEM skills of workers employed by this business,0,0
29,42,Did not change STEM skills of workers employed by this business,38,2008
29,42,"Not applicable, did not employ workers with STEM skills",0,0
30,42,Increased number of workers employed by this business,0,0
30,42,Decreased number of workers employed by this business,0,0
30,42,Did not change number of workers employed by this business,24,260
30,42,Increased skill level of workers employed by this business,0,0
30,42,Decreased skill level of workers employed by this business,0,0
30,42,Did not change skill level of workers employed by this business,0,0
30,42,"Not applicable, did not employ workers with STEM skills",0,0
30,42,Increased STEM skills of workers employed by this business,0,0
30,42,Decreased STEM skills of workers employed by this business,0,0
30,42,Did not change STEM skills of workers employed by this business,0,0
31,42,Increased number of workers employed by this business,0,0
31,42,Decreased number of workers employed by this business,0,0
31,42,Increased skill level of workers employed by this business,19,930
31,42,Did not change number of workers employed by this business,22,1014
31,42,Decreased skill level of workers employed by this business,0,0
31,42,Did not change skill level of workers employed by this business,15,558
31,42,Increased STEM skills of workers employed by this business,19,930
31,42,Decreased STEM skills of workers employed by this business,0,0
31,42,Did not change STEM skills of workers employed by this business,0,0
31,42,"Not applicable, did not employ workers with STEM skills",0,0
32,42,Increased number of workers employed by this business,0,0
32,42,Decreased number of workers employed by this business,0,0
32,42,Did not change number of workers employed by this business,80,2476
32,42,Increased skill level of workers employed by this business,45,1832
32,42,Decreased skill level of workers employed by this business,0,0
32,42,Did not change skill level of workers employed by this business,47,978
32,42,Increased STEM skills of workers employed by this business,34,1814
32,42,Decreased STEM skills of workers employed by this business,0,0
32,42,Did not change STEM skills of workers employed by this business,49,948
32,42,"Not applicable, did not employ workers with STEM skills",0,0
34,42,Did not change number of workers employed by this business,345,25455
34,42,Increased number of workers employed by this business,26,1865
34,42,Decreased number of workers employed by this business,0,0
34,42,Increased skill level of workers employed by this business,170,14056
34,42,Decreased skill level of workers employed by this business,0,0
34,42,Did not change skill level of workers employed by this business,204,13290
34,42,Increased STEM skills of workers employed by this business,173,21238
34,42,Decreased STEM skills of workers employed by this business,0,0
34,42,Did not change STEM skills of workers employed by this business,67,3511
34,42,"Not applicable, did not employ workers with STEM skills",134,2924
33,42,Increased number of workers employed by this business,0,0
33,42,Decreased number of workers employed by this business,0,0
33,42,Did not change number of workers employed by this business,27,1830
33,42,Increased skill level of workers employed by this business,26,1537
33,42,Decreased skill level of workers employed by this business,0,0
33,42,Did not change skill level of workers employed by this business,0,0
33,42,"Not applicable, did not employ workers with STEM skills",0,0
33,42,Increased STEM skills of workers employed by this business,22,1473
33,42,Decreased STEM skills of workers employed by this business,0,0
33,42,Did not change STEM skills of workers employed by this business,0,0
35,42,Increased number of workers employed by this business,0,0
35,42,Decreased number of workers employed by this business,0,0
35,42,Did not change number of workers employed by this business,55,1710
35,42,Increased skill level of workers employed by this business,24,782
35,42,Decreased skill level of workers employed by this business,0,0
35,42,Did not change skill level of workers employed by this business,44,1182
35,42,Increased STEM skills of workers employed by this business,22,976
35,42,Decreased STEM skills of workers employed by this business,0,0
35,42,Did not change STEM skills of workers employed by this business,42,975
35,42,"Not applicable, did not employ workers with STEM skills",0,0
36,42,Increased number of workers employed by this business,17,4256
36,42,Decreased number of workers employed by this business,0,0
36,42,Did not change number of workers employed by this business,414,24895
36,42,Increased skill level of workers employed by this business,121,12185
36,42,Decreased skill level of workers employed by this business,0,0
36,42,Did not change skill level of workers employed by this business,261,11457
36,42,Increased STEM skills of workers employed by this business,81,16750
36,42,Decreased STEM skills of workers employed by this business,0,0
36,42,Did not change STEM skills of workers employed by this business,0,0
36,42,"Not applicable, did not employ workers with STEM skills",0,0
37,42,Increased number of workers employed by this business,33,2859
37,42,Decreased number of workers employed by this business,0,0
37,42,Did not change number of workers employed by this business,297,21945
37,42,Increased skill level of workers employed by this business,125,11083
37,42,Decreased skill level of workers employed by this business,0,0
37,42,Did not change skill level of workers employed by this business,208,14119
37,42,"Not applicable, did not employ workers with STEM skills",0,0
37,42,Increased STEM skills of workers employed by this business,130,11367
37,42,Decreased STEM skills of workers employed by this business,0,0
37,42,Did not change STEM skills of workers employed by this business,129,12177
38,42,Increased number of workers employed by this business,0,0
38,42,Decreased number of workers employed by this business,0,0
38,42,Did not change number of workers employed by this business,24,865
38,42,Increased skill level of workers employed by this business,0,0
38,42,Decreased skill level of workers employed by this business,0,0
38,42,Did not change skill level of workers employed by this business,0,0
38,42,Increased STEM skills of workers employed by this business,0,0
38,42,Decreased STEM skills of workers employed by this business,0,0
38,42,Did not change STEM skills of workers employed by this business,0,0
38,42,"Not applicable, did not employ workers with STEM skills",0,0
39,42,Increased number of workers employed by this business,22,5078
39,42,Decreased number of workers employed by this business,0,0
39,42,Did not change number of workers employed by this business,380,8923
39,42,Increased skill level of workers employed by this business,107,8436
39,42,Decreased skill level of workers employed by this business,0,0
39,42,Did not change skill level of workers employed by this business,301,6087
39,42,Increased STEM skills of workers employed by this business,55,8503
39,42,Decreased STEM skills of workers employed by this business,0,0
39,42,Did not change STEM skills of workers employed by this business,229,4693
39,42,"Not applicable, did not employ workers with STEM skills",0,0
40,42,Increased number of workers employed by this business,0,0
40,42,Decreased number of workers employed by this business,0,0
40,42,Did not change number of workers employed by this business,62,1728
40,42,Increased skill level of workers employed by this business,42,1277
40,42,Decreased skill level of workers employed by this business,0,0
40,42,Did not change skill level of workers employed by this business,46,1012
40,42,Increased STEM skills of workers employed by this business,49,1606
40,42,Decreased STEM skills of workers employed by this business,0,0
40,42,Did not change STEM skills of workers employed by this business,25,556
40,42,"Not applicable, did not employ workers with STEM skills",0,0
41,42,Increased number of workers employed by this business,0,0
41,42,Decreased number of workers employed by this business,0,0
41,42,Did not change number of workers employed by this business,112,2763
41,42,Increased skill level of workers employed by this business,81,2225
41,42,Decreased skill level of workers employed by this business,0,0
41,42,Did not change skill level of workers employed by this business,42,1258
41,42,Increased STEM skills of workers employed by this business,91,2300
41,42,Decreased STEM skills of workers employed by this business,0,0
41,42,Did not change STEM skills of workers employed by this business,30,1145
41,42,"Not applicable, did not employ workers with STEM skills",0,0
42,42,Increased number of workers employed by this business,78,1114
42,42,Decreased number of workers employed by this business,0,0
42,42,Did not change number of workers employed by this business,182,12468
42,42,Increased skill level of workers employed by this business,206,8286
42,42,Decreased skill level of workers employed by this business,0,0
42,42,Did not change skill level of workers employed by this business,65,7082
42,42,Increased STEM skills of workers employed by this business,147,7334
42,42,Decreased STEM skills of workers employed by this business,0,0
42,42,Did not change STEM skills of workers employed by this business,57,7439
42,42,"Not applicable, did not employ workers with STEM skills",0,0
45,42,Increased number of workers employed by this business,0,0
45,42,Decreased number of workers employed by this business,0,0
45,42,Did not change number of workers employed by this business,102,3383
45,42,Increased skill level of workers employed by this business,21,2731
45,42,Decreased skill level of workers employed by this business,0,0
45,42,Did not change skill level of workers employed by this business,92,1876
45,42,Increased STEM skills of workers employed by this business,29,3172
45,42,Decreased STEM skills of workers employed by this business,0,0
45,42,Did not change STEM skills of workers employed by this business,23,1065
45,42,"Not applicable, did not employ workers with STEM skills",0,0
44,42,Increased number of workers employed by this business,0,0
44,42,Decreased number of workers employed by this business,0,0
44,42,Did not change number of workers employed by this business,39,732
44,42,Increased skill level of workers employed by this business,0,0
44,42,Decreased skill level of workers employed by this business,0,0
44,42,Did not change skill level of workers employed by this business,0,0
44,42,Increased STEM skills of workers employed by this business,0,0
44,42,Decreased STEM skills of workers employed by this business,0,0
44,42,Did not change STEM skills of workers employed by this business,0,0
44,42,"Not applicable, did not employ workers with STEM skills",0,0
46,42,Increased number of workers employed by this business,0,0
46,42,Decreased number of workers employed by this business,0,0
46,42,Did not change number of workers employed by this business,0,0
46,42,Increased skill level of workers employed by this business,0,0
46,42,Decreased skill level of workers employed by this business,0,0
46,42,Did not change skill level of workers employed by this business,0,0
46,42,Increased STEM skills of workers employed by this business,0,0
46,42,Decreased STEM skills of workers employed by this business,0,0
46,42,Did not change STEM skills of workers employed by this business,0,0
46,42,"Not applicable, did not employ workers with STEM skills",0,0
47,42,Increased number of workers employed by this business,20,2308
47,42,Decreased number of workers employed by this business,0,0
47,42,Did not change number of workers employed by this business,95,8571
47,42,Increased skill level of workers employed by this business,71,7991
47,42,Decreased skill level of workers employed by this business,0,0
47,42,Did not change skill level of workers employed by this business,51,3588
47,42,Increased STEM skills of workers employed by this business,73,7743
47,42,Decreased STEM skills of workers employed by this business,0,0
47,42,Did not change STEM skills of workers employed by this business,31,3316
47,42,"Not applicable, did not employ workers with STEM skills",0,0
48,42,Increased number of workers employed by this business,28,11638
48,42,Decreased number of workers employed by this business,0,0
48,42,Did not change number of workers employed by this business,544,31439
48,42,Increased skill level of workers employed by this business,293,26078
48,42,Decreased skill level of workers employed by this business,0,0
48,42,Did not change skill level of workers employed by this business,289,22675
48,42,Increased STEM skills of workers employed by this business,262,30646
48,42,Decreased STEM skills of workers employed by this business,0,0
48,42,Did not change STEM skills of workers employed by this business,235,16120
48,42,"Not applicable, did not employ workers with STEM skills",0,0
49,42,Increased number of workers employed by this business,0,0
49,42,Decreased number of workers employed by this business,0,0
49,42,Did not change number of workers employed by this business,56,5071
49,42,Increased skill level of workers employed by this business,28,1547
49,42,Decreased skill level of workers employed by this business,0,0
49,42,Did not change skill level of workers employed by this business,47,4038
49,42,Increased STEM skills of workers employed by this business,34,1557
49,42,Decreased STEM skills of workers employed by this business,0,0
49,42,Did not change STEM skills of workers employed by this business,19,3921
49,42,"Not applicable, did not employ workers with STEM skills",0,0
50,42,Increased number of workers employed by this business,0,0
50,42,Decreased number of workers employed by this business,0,0
50,42,Did not change number of workers employed by this business,0,0
50,42,Increased skill level of workers employed by this business,0,0
50,42,Decreased skill level of workers employed by this business,0,0
50,42,Did not change skill level of workers employed by this business,0,0
50,42,Increased STEM skills of workers employed by this business,0,0
50,42,Decreased STEM skills of workers employed by this business,0,0
50,42,Did not change STEM skills of workers employed by this business,0,0
50,42,"Not applicable, did not employ workers with STEM skills",0,0
51,42,Increased number of workers employed by this business,66,1400
51,42,Decreased number of workers employed by this business,0,0
51,42,Did not change skill level of workers employed by this business,53,3660
51,42,Did not change number of workers employed by this business,65,7245
51,42,Increased skill level of workers employed by this business,81,5057
51,42,Decreased skill level of workers employed by this business,0,0
51,42,Increased STEM skills of workers employed by this business,85,5345
51,42,Decreased STEM skills of workers employed by this business,0,0
51,42,Did not change STEM skills of workers employed by this business,26,3167
51,42,"Not applicable, did not employ workers with STEM skills",0,0
53,42,Increased skill level of workers employed by this business,182,6666
53,42,Increased number of workers employed by this business,74,2149
53,42,Decreased number of workers employed by this business,0,0
53,42,Did not change number of workers employed by this business,106,5500
53,42,Decreased skill level of workers employed by this business,0,0
53,42,Did not change skill level of workers employed by this business,37,2498
53,42,Increased STEM skills of workers employed by this business,103,4671
53,42,Decreased STEM skills of workers employed by this business,0,0
53,42,Did not change STEM skills of workers employed by this business,114,4324
53,42,"Not applicable, did not employ workers with STEM skills",0,0
54,42,Did not change number of workers employed by this business,17,837
54,42,Increased number of workers employed by this business,0,0
54,42,Decreased number of workers employed by this business,0,0
54,42,Increased skill level of workers employed by this business,0,0
54,42,Decreased skill level of workers employed by this business,0,0
54,42,Did not change skill level of workers employed by this business,0,0
54,42,Increased STEM skills of workers employed by this business,14,1461
54,42,Decreased STEM skills of workers employed by this business,0,0
54,42,Did not change STEM skills of workers employed by this business,0,0
54,42,"Not applicable, did not employ workers with STEM skills",0,0
55,42,Increased skill level of workers employed by this business,107,5981
55,42,Increased number of workers employed by this business,22,1068
55,42,Decreased number of workers employed by this business,0,0
55,42,Did not change number of workers employed by this business,229,10707
55,42,Decreased skill level of workers employed by this business,0,0
55,42,Did not change skill level of workers employed by this business,156,9341
55,42,Increased STEM skills of workers employed by this business,107,6159
55,42,Decreased STEM skills of workers employed by this business,0,0
55,42,Did not change STEM skills of workers employed by this business,151,8900
55,42,"Not applicable, did not employ workers with STEM skills",0,0
56,42,Increased number of workers employed by this business,0,0
56,42,Decreased number of workers employed by this business,0,0
56,42,Did not change number of workers employed by this business,0,0
56,42,Increased skill level of workers employed by this business,0,0
56,42,Decreased skill level of workers employed by this business,0,0
56,42,Did not change skill level of workers employed by this business,0,0
56,42,Increased STEM skills of workers employed by this business,0,0
56,42,Decreased STEM skills of workers employed by this business,0,0
56,42,Did not change STEM skills of workers employed by this business,0,0
56,42,"Not applicable, did not employ workers with STEM skills",0,0
01,44-45,Increased number of workers employed by this business,0,0
01,44-45,Decreased number of workers employed by this business,0,0
01,44-45,Did not change number of workers employed by this business,211,6826
01,44-45,Increased skill level of workers employed by this business,269,56950
01,44-45,Decreased skill level of workers employed by this business,0,0
01,44-45,Did not change STEM skills of workers employed by this business,193,3467
01,44-45,Did not change skill level of workers employed by this business,63,5632
01,44-45,Increased STEM skills of workers employed by this business,138,57544
01,44-45,Decreased STEM skills of workers employed by this business,0,0
01,44-45,"Not applicable, did not employ workers with STEM skills",0,0
02,44-45,Increased number of workers employed by this business,0,0
02,44-45,Decreased number of workers employed by this business,0,0
02,44-45,Did not change number of workers employed by this business,0,0
02,44-45,Increased skill level of workers employed by this business,0,0
02,44-45,Decreased skill level of workers employed by this business,0,0
02,44-45,Did not change skill level of workers employed by this business,0,0
02,44-45,Increased STEM skills of workers employed by this business,0,0
02,44-45,Decreased STEM skills of workers employed by this business,0,0
02,44-45,Did not change STEM skills of workers employed by this business,0,0
02,44-45,"Not applicable, did not employ workers with STEM skills",0,0
04,44-45,Increased number of workers employed by this business,0,0
04,44-45,Decreased number of workers employed by this business,0,0
04,44-45,Did not change skill level of workers employed by this business,65,14222
04,44-45,Did not change number of workers employed by this business,100,12870
04,44-45,Increased skill level of workers employed by this business,51,57481
04,44-45,Decreased skill level of workers employed by this business,0,0
04,44-45,Increased STEM skills of workers employed by this business,22,62668
04,44-45,Decreased STEM skills of workers employed by this business,0,0
04,44-45,Did not change STEM skills of workers employed by this business,44,4557
04,44-45,"Not applicable, did not employ workers with STEM skills",0,0
05,44-45,Decreased number of workers employed by this business,0,0
05,44-45,Increased number of workers employed by this business,0,0
05,44-45,Did not change number of workers employed by this business,121,5841
05,44-45,Increased skill level of workers employed by this business,18,43741
05,44-45,Decreased skill level of workers employed by this business,0,0
05,44-45,Did not change skill level of workers employed by this business,117,5094
05,44-45,Increased STEM skills of workers employed by this business,20,45137
05,44-45,Decreased STEM skills of workers employed by this business,0,0
05,44-45,Did not change STEM skills of workers employed by this business,0,0
05,44-45,"Not applicable, did not employ workers with STEM skills",0,0
06,44-45,Increased number of workers employed by this business,196,203819
06,44-45,Decreased number of workers employed by this business,285,11967
06,44-45,Did not change number of workers employed by this business,593,47148
06,44-45,Increased skill level of workers employed by this business,444,212411
06,44-45,Decreased skill level of workers employed by this business,0,0
06,44-45,Did not change STEM skills of workers employed by this business,260,24684
06,44-45,Did not change skill level of workers employed by this business,629,50508
06,44-45,Increased STEM skills of workers employed by this business,259,231808
06,44-45,Decreased STEM skills of workers employed by this business,0,0
06,44-45,"Not applicable, did not employ workers with STEM skills",505,6392
08,44-45,Increased number of workers employed by this business,0,0
08,44-45,Decreased number of workers employed by this business,0,0
08,44-45,Did not change number of workers employed by this business,212,10217
08,44-45,Increased skill level of workers employed by this business,120,52529
08,44-45,Decreased skill level of workers employed by this business,0,0
08,44-45,Did not change skill level of workers employed by this business,153,8536
08,44-45,Increased STEM skills of workers employed by this business,75,53429
08,44-45,Decreased STEM skills of workers employed by this business,0,0
08,44-45,Did not change STEM skills of workers employed by this business,182,4516
08,44-45,"Not applicable, did not employ workers with STEM skills",0,0
09,44-45,Increased number of workers employed by this business,0,0
09,44-45,Decreased number of workers employed by this business,0,0
09,44-45,Did not change number of workers employed by this business,194,13562
09,44-45,Increased skill level of workers employed by this business,86,18392
09,44-45,Decreased skill level of workers employed by this business,0,0
09,44-45,Did not change skill level of workers employed by this business,122,13171
09,44-45,Increased STEM skills of workers employed by this business,23,26967
09,44-45,Decreased STEM skills of workers employed by this business,0,0
09,44-45,Did not change STEM skills of workers employed by this business,0,0
09,44-45,"Not applicable, did not employ workers with STEM skills",0,0
10,44-45,Increased number of workers employed by this business,0,0
10,44-45,Decreased number of workers employed by this business,0,0
10,44-45,Did not change number of workers employed by this business,0,0
10,44-45,Increased skill level of workers employed by this business,13,6270
10,44-45,Decreased skill level of workers employed by this business,0,0
10,44-45,Did not change skill level of workers employed by this business,0,0
10,44-45,Increased STEM skills of workers employed by this business,16,6977
10,44-45,Decreased STEM skills of workers employed by this business,0,0
10,44-45,Did not change STEM skills of workers employed by this business,0,0
10,44-45,"Not applicable, did not employ workers with STEM skills",0,0
12,44-45,Decreased number of workers employed by this business,0,0
12,44-45,Increased number of workers employed by this business,55,178198
12,44-45,Did not change number of workers employed by this business,1448,44429
12,44-45,Increased skill level of workers employed by this business,483,186746
12,44-45,Decreased skill level of workers employed by this business,0,0
12,44-45,Did not change skill level of workers employed by this business,981,43335
12,44-45,Increased STEM skills of workers employed by this business,259,196569
12,44-45,Decreased STEM skills of workers employed by this business,0,0
12,44-45,Did not change STEM skills of workers employed by this business,563,20200
12,44-45,"Not applicable, did not employ workers with STEM skills",0,0
11,44-45,Increased number of workers employed by this business,0,0
11,44-45,Decreased number of workers employed by this business,0,0
11,44-45,Did not change number of workers employed by this business,0,0
11,44-45,Increased skill level of workers employed by this business,0,0
11,44-45,Decreased STEM skills of workers employed by this business,0,0
11,44-45,Decreased skill level of workers employed by this business,0,0
11,44-45,Did not change skill level of workers employed by this business,0,0
11,44-45,Increased STEM skills of workers employed by this business,0,0
11,44-45,Did not change STEM skills of workers employed by this business,0,0
11,44-45,"Not applicable, did not employ workers with STEM skills",0,0
13,44-45,Increased number of workers employed by this business,0,0
13,44-45,Decreased number of workers employed by this business,0,0
13,44-45,Did not change number of workers employed by this business,561,14915
13,44-45,Increased STEM skills of workers employed by this business,145,95090
13,44-45,Increased skill level of workers employed by this business,183,92277
13,44-45,Decreased skill level of workers employed by this business,0,0
13,44-45,Did not change skill level of workers employed by this business,434,15891
13,44-45,Decreased STEM skills of workers employed by this business,0,0
13,44-45,Did not change STEM skills of workers employed by this business,248,9387
13,44-45,"Not applicable, did not employ workers with STEM skills",0,0
15,44-45,Increased number of workers employed by this business,0,0
15,44-45,Decreased number of workers employed by this business,0,0
15,44-45,Did not change number of workers employed by this business,0,0
15,44-45,Increased skill level of workers employed by this business,0,0
15,44-45,Decreased skill level of workers employed by this business,0,0
15,44-45,Did not change skill level of workers employed by this business,0,0
15,44-45,Increased STEM skills of workers employed by this business,0,0
15,44-45,Decreased STEM skills of workers employed by this business,0,0
15,44-45,Did not change STEM skills of workers employed by this business,0,0
15,44-45,"Not applicable, did not employ workers with STEM skills",0,0
16,44-45,Increased skill level of workers employed by this business,14,13342
16,44-45,Increased number of workers employed by this business,0,0
16,44-45,Decreased number of workers employed by this business,0,0
16,44-45,Did not change number of workers employed by this business,21,2010
16,44-45,Decreased skill level of workers employed by this business,0,0
16,44-45,Did not change skill level of workers employed by this business,18,1988
16,44-45,Increased STEM skills of workers employed by this business,14,13363
16,44-45,Decreased STEM skills of workers employed by this business,0,0
16,44-45,Did not change STEM skills of workers employed by this business,17,1666
16,44-45,"Not applicable, did not employ workers with STEM skills",0,0
17,44-45,Increased number of workers employed by this business,139,95451
17,44-45,Decreased number of workers employed by this business,0,0
17,44-45,Did not change number of workers employed by this business,760,37529
17,44-45,Increased skill level of workers employed by this business,505,107989
17,44-45,Decreased skill level of workers employed by this business,0,0
17,44-45,Did not change skill level of workers employed by this business,399,29517
17,44-45,Increased STEM skills of workers employed by this business,295,106650
17,44-45,Decreased STEM skills of workers employed by this business,0,0
17,44-45,Did not change STEM skills of workers employed by this business,304,26847
17,44-45,"Not applicable, did not employ workers with STEM skills",0,0
18,44-45,Increased number of workers employed by this business,0,0
18,44-45,Decreased number of workers employed by this business,0,0
18,44-45,Did not change number of workers employed by this business,157,16692
18,44-45,Increased skill level of workers employed by this business,67,58320
18,44-45,Decreased skill level of workers employed by this business,0,0
18,44-45,Did not change skill level of workers employed by this business,108,16941
18,44-45,Increased STEM skills of workers employed by this business,22,61438
18,44-45,Decreased STEM skills of workers employed by this business,0,0
18,44-45,Did not change STEM skills of workers employed by this business,149,13208
18,44-45,"Not applicable, did not employ workers with STEM skills",0,0
19,44-45,Increased number of workers employed by this business,0,0
19,44-45,Decreased skill level of workers employed by this business,0,0
19,44-45,Decreased number of workers employed by this business,0,0
19,44-45,Did not change number of workers employed by this business,118,9301
19,44-45,Increased skill level of workers employed by this business,126,32135
19,44-45,Did not change skill level of workers employed by this business,114,9145
19,44-45,Increased STEM skills of workers employed by this business,73,32122
19,44-45,Decreased STEM skills of workers employed by this business,0,0
19,44-45,Did not change STEM skills of workers employed by this business,124,8503
19,44-45,"Not applicable, did not employ workers with STEM skills",0,0
20,44-45,Increased number of workers employed by this business,0,0
20,44-45,Decreased number of workers employed by this business,0,0
20,44-45,Did not change number of workers employed by this business,126,7399
20,44-45,Increased skill level of workers employed by this business,77,33264
20,44-45,Decreased skill level of workers employed by this business,0,0
20,44-45,Did not change skill level of workers employed by this business,63,5643
20,44-45,Increased STEM skills of workers employed by this business,25,34431
20,44-45,Decreased STEM skills of workers employed by this business,0,0
20,44-45,Did not change STEM skills of workers employed by this business,0,0
20,44-45,"Not applicable, did not employ workers with STEM skills",0,0
21,44-45,Increased number of workers employed by this business,0,0
21,44-45,Decreased number of workers employed by this business,0,0
21,44-45,Did not change number of workers employed by this business,0,0
21,44-45,Increased skill level of workers employed by this business,136,45341
21,44-45,Decreased skill level of workers employed by this business,0,0
21,44-45,Did not change skill level of workers employed by this business,0,0
21,44-45,"Not applicable, did not employ workers with STEM skills",0,0
21,44-45,Increased STEM skills of workers employed by this business,58,46371
21,44-45,Decreased STEM skills of workers employed by this business,0,0
21,44-45,Did not change STEM skills of workers employed by this business,0,0
22,44-45,Increased number of workers employed by this business,0,0
22,44-45,Decreased number of workers employed by this business,0,0
22,44-45,Did not change number of workers employed by this business,114,6988
22,44-45,Increased skill level of workers employed by this business,20,54058
22,44-45,Decreased skill level of workers employed by this business,0,0
22,44-45,Did not change skill level of workers employed by this business,107,6809
22,44-45,Increased STEM skills of workers employed by this business,22,55748
22,44-45,Decreased STEM skills of workers employed by this business,0,0
22,44-45,Did not change STEM skills of workers employed by this business,61,1648
22,44-45,"Not applicable, did not employ workers with STEM skills",0,0
23,44-45,Increased number of workers employed by this business,0,0
23,44-45,Decreased skill level of workers employed by this business,0,0
23,44-45,Decreased number of workers employed by this business,0,0
23,44-45,Did not change number of workers employed by this business,42,981
23,44-45,Increased skill level of workers employed by this business,40,10487
23,44-45,Did not change skill level of workers employed by this business,0,0
23,44-45,Increased STEM skills of workers employed by this business,43,10981
23,44-45,Decreased STEM skills of workers employed by this business,0,0
23,44-45,Did not change STEM skills of workers employed by this business,0,0
23,44-45,"Not applicable, did not employ workers with STEM skills",0,0
24,44-45,Increased number of workers employed by this business,0,0
24,44-45,Decreased number of workers employed by this business,0,0
24,44-45,Did not change skill level of workers employed by this business,196,7990
24,44-45,Did not change number of workers employed by this business,249,8670
24,44-45,Increased skill level of workers employed by this business,64,37975
