state,naics_sector,impact,n_firms,n_emp
15,00,Decreased STEM skills of workers employed by this business,0,0
15,00,Did not change STEM skills of workers employed by this business,301,7764
15,00,"Not applicable, did not employ workers with STEM skills",209,1641
13,00,Increased number of workers employed by this business,705,181069
13,00,Decreased number of workers employed by this business,171,18160
13,00,Did not change number of workers employed by this business,4007,210859
13,00,Increased skill level of workers employed by this business,2027,235207
13,00,Decreased skill level of workers employed by this business,0,0
13,00,Did not change skill level of workers employed by this business,2793,173077
13,00,Increased STEM skills of workers employed by this business,1550,240537
16,00,Increased number of workers employed by this business,169,13953
16,00,Decreased number of workers employed by this business,29,3403
16,00,Did not change number of workers employed by this business,634,23972
16,00,Increased skill level of workers employed by this business,305,21010
16,00,Decreased skill level of workers employed by this business,0,0
16,00,Did not change skill level of workers employed by this business,523,20242
16,00,Increased STEM skills of workers employed by this business,318,22549
16,00,Decreased STEM skills of workers employed by this business,0,0
16,00,Did not change STEM skills of workers employed by this business,333,16733
16,00,"Not applicable, did not employ workers with STEM skills",178,2045
17,00,Decreased number of workers employed by this business,302,18817
17,00,Increased number of workers employed by this business,691,200641
17,00,Did not change number of workers employed by this business,5311,353753
17,00,Did not change skill level of workers employed by this business,3673,248226
17,00,Increased skill level of workers employed by this business,2536,323427
17,00,Decreased skill level of workers employed by this business,0,0
17,00,Increased STEM skills of workers employed by this business,1583,342211
17,00,Decreased STEM skills of workers employed by this business,0,0
17,00,Did not change STEM skills of workers employed by this business,2881,212159
17,00,"Not applicable, did not employ workers with STEM skills",1782,17972
18,00,Increased number of workers employed by this business,303,101745
18,00,Decreased number of workers employed by this business,148,26415
18,00,Did not change number of workers employed by this business,2372,199875
18,00,Increased skill level of workers employed by this business,845,173997
18,00,Decreased skill level of workers employed by this business,0,0
18,00,Did not change skill level of workers employed by this business,1917,152836
18,00,Increased STEM skills of workers employed by this business,614,185474
18,00,Decreased STEM skills of workers employed by this business,0,0
18,00,Did not change STEM skills of workers employed by this business,1228,131146
18,00,"Not applicable, did not employ workers with STEM skills",973,11411
19,00,Increased number of workers employed by this business,242,70567
19,00,Decreased number of workers employed by this business,146,5880
19,00,Did not change number of workers employed by this business,1462,108242
19,00,Increased skill level of workers employed by this business,753,107503
19,00,Decreased skill level of workers employed by this business,0,0
19,00,Did not change skill level of workers employed by this business,1046,76689
19,00,Increased STEM skills of workers employed by this business,447,104607
19,00,Decreased STEM skills of workers employed by this business,0,0
19,00,Did not change STEM skills of workers employed by this business,891,57504
19,00,"Not applicable, did not employ workers with STEM skills",462,22082
20,00,Did not change number of workers employed by this business,1189,44186
20,00,Increased number of workers employed by this business,372,54818
20,00,Decreased number of workers employed by this business,84,3434
20,00,Increased skill level of workers employed by this business,615,73406
20,00,Decreased skill level of workers employed by this business,0,0
20,00,Did not change skill level of workers employed by this business,982,28960
20,00,Increased STEM skills of workers employed by this business,497,75479
20,00,Decreased STEM skills of workers employed by this business,0,0
20,00,Did not change STEM skills of workers employed by this business,716,22125
20,00,"Not applicable, did not employ workers with STEM skills",384,4769
21,00,Increased number of workers employed by this business,178,80266
21,00,Decreased number of workers employed by this business,75,11707
21,00,Did not change number of workers employed by this business,1405,70145
21,00,Increased skill level of workers employed by this business,583,103168
21,00,Decreased skill level of workers employed by this business,0,0
21,00,Did not change skill level of workers employed by this business,1073,58747
21,00,Increased STEM skills of workers employed by this business,419,102371
21,00,Decreased STEM skills of workers employed by this business,0,0
21,00,Did not change STEM skills of workers employed by this business,1021,54338
21,00,"Not applicable, did not employ workers with STEM skills",176,4884
22,00,Increased number of workers employed by this business,281,96227
22,00,Decreased number of workers employed by this business,111,24844
22,00,Did not change number of workers employed by this business,1261,58774
22,00,Increased skill level of workers employed by this business,570,138028
22,00,Decreased skill level of workers employed by this business,0,0
22,00,Did not change skill level of workers employed by this business,1070,41265
22,00,Increased STEM skills of workers employed by this business,614,141131
22,00,Decreased STEM skills of workers employed by this business,0,0
22,00,Did not change STEM skills of workers employed by this business,566,30596
22,00,"Not applicable, did not employ workers with STEM skills",473,7871
24,00,Increased number of workers employed by this business,441,54943
24,00,Decreased number of workers employed by this business,204,11645
24,00,Did not change number of workers employed by this business,2285,105555
24,00,Increased skill level of workers employed by this business,1224,88429
24,00,Decreased skill level of workers employed by this business,0,0
24,00,Did not change skill level of workers employed by this business,1662,82830
24,00,Increased STEM skills of workers employed by this business,1171,101942
24,00,Decreased STEM skills of workers employed by this business,0,0
24,00,Did not change STEM skills of workers employed by this business,1036,61711
24,00,"Not applicable, did not employ workers with STEM skills",680,7610
23,00,Increased number of workers employed by this business,127,17278
23,00,Decreased number of workers employed by this business,13,478
23,00,Did not change number of workers employed by this business,686,17445
23,00,Increased skill level of workers employed by this business,303,22160
23,00,Decreased skill level of workers employed by this business,0,0
23,00,Did not change skill level of workers employed by this business,523,13030
23,00,Increased STEM skills of workers employed by this business,273,23095
23,00,Decreased STEM skills of workers employed by this business,0,0
23,00,Did not change STEM skills of workers employed by this business,271,9815
